,Empresas,Ativos,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,VIA S.A,VIIA3F,,,,,
1,Armac,ARML3,,,,,
2,Multilaser,MLAS3,,,,,
3,CBA,CBAV3,,,,,
4,3tentos,TTEN3,,,,,
5,BR Partners,BRBI11,,,,,
6,GetNinjas,NINJ3,,,,,
7,Dotz,DOTZ3,,,,,
8,Athena Saúde,ATEA3,,,,,
9,Banco Modal,MODL4,MODL11,,,,
10,Banco Modal,MODL3,,,,,
11,Vittia Fertilizantes,VITT3,,,,,
12,Kora Saúde,KRSA3,,,,,
13,Boa Safra,,,,,,
14,Caixa Seguridade,CXSE3,,,,,
15,Rio Alto Energias Renováveis,RIOS3,,,,,
16,Hospital Care Caledonia,HCAR3,,,,,
17,Grupos GPS,GGPS3,,,,,
18,Mater Dei,MATD3,,,,,
19,Allied Tecnologia,ALLD3,,,,,
20,Blau Farmacêutica,BLAU3,,,,,
21,Atma Participações,ATMP3,,,,,
22,Assaí,ASAI3,,,,,
23,Grupo JSL,JSLG3,,,,,
24,CSN Mineração,CMIN3,,,,,
25,Eletromídia,ELMD3,,,,,
26,Orizon,ORVR3,,,,,
27,OceanPact,OPCT3,,,,,
28,Westwing,WEST3,,,,,
29,Cruzeiro Do Sul Educacional,CSED3,,,,,
30,Bemobi,BMOB3,,,,,
31,Jalles Machado,JALL3,,,,,
32,Focus Energia,POWE3,,,,,
33,Mosaico,MOSI3,,,,,
34,Mobly,MBLY3,,,,,
35,Espaçolaser,ESPA3,,,,,
36,Vamos,VAMO3,,,,,
37,Intelbras SA,INTB3,,,,,
38,Hedge Investiments,CJCT11,,,,,
39,BM Brascam Lajes Corporativas,BMLC11,,,,,
40,Real Estate Capital,RECR11,,,,,
41,Urca Prime,URPR11,,,,,
42,Devant Recebíveis Imobiliários,DEVA11,,,,,
43,Mérito Investimentos,MFAI11,,,,,
44,Neogrid,NGRD3,,,,,
45,Alphaville S.A.,AVLL3,,,,,
46,3R Petroleum,RRRP3,,,,,
47,Aeris,AERI3,,,,,
48,Enjoei,ENJU3,,,,,
49,Méliuz,CASH3,,,,,
50,Track & Field,TFCO4,,,,,
51,Triple Play,CONX3,,,,,
52,Grupo Mateus,GMAT3,,,,,
53,Sequoia,SEQL3,,,,,
54,Compass,PASS3,,,,,
55,Boa Vista SCPC,BOAS3,,,,,
56,Melnick,MELK3,,,,,
57,Hidrovias do Brasil,HBSA3,,,,,
58,Simpar,SIMH3F,,,,,
59,Cury,CURY3,,,,,
60,Plano & Plano,PLPL3,,,,,
61,Petz,PETZ3,,,,,
62,Pague Menos,PGMN3,,,,,
63,Lavvi Incorporadora,LAVV3,,,,,
64,Quero-Quero,LJQQ3,,,,,
65,d1000,DMVF3,,,,,
66,Grupo Soma,SOMA3,,,,,
67,Riva 9,RIVA3,,,,,
68,Ambipar,AMBP3,,,,,
69,Allpark,ALPK3,,,,,
70,Mitre Realty,MTRE3,,,,,
71,Moura Dubeux,MDNE3,,,,,
72,Bardella,BDLL4F,BDLL3F,,,,
73,UPS,UPSS34F,,,,,
74,Lockheed,LMTB34F,,,,,
75,Johnson,JNJB34F,,,,,
76,Fedex Corp,FDXB34F,,,,,
77,Exxon Mobile,EXXO34F,,,,,
78,Caterpillar,CATP34F,,,,,
79,Bristolmyers,BMYB34F,,,,,
80,Boeing,BOEI34F,,,,,
81,Arcelor,ARMT34F,,,,,
82,American Express,AXPB34F,,,,,
83,Abbott Laboratories,ABTT34F,,,,,
84,Santos - Brasil,STBP3F,,,,,
85,Randon Part,RAPT3F,,,,,
86,Engie,EGIE3F,,,,,
87,MMX Mineração,MMXM11F,MMXM3F,,,,
88,Lupatech,LUPA3F,,,,,
89,Inepar,INEP4F,INEP3F,,,,
90,Ger Paranapanema,GEPA4F,GEPA3F,,,,
91,Fras-Le,FRAS3F,,,,,
92,Afluente T,AFLT3F,,,,,
93,Schulz,SHUL4F,,,,,
94,Suzano Holding,NEMO5F,,,,,
0,VIA S.A,VIIA3,,,,,
1,Cedro,CEDO4F,CEDO3F,,,,
2,Netflix,NFLX34F,NFLX34,,,,
3,Nike,NIKE34F,NIKE34,,,,
4,MC Donald's,MCDC34F,MCDC34,,,,
5,Home Depot,HOME34F,HOME34,,,,
6,Ford Motors,FDMO34F,FDMO34,,,,
7,Comcast,CMCS34F,,,,,
8,Amazon,AMZO34F,,,,,
9,Rodobens,RDNI3F,RDNI3,,,,
10,Saraiva Livr,SLED4F,SLED3F,SLED3,,,
11,Rossi Resid,RSID3F,RSID3,,,,
12,Mundial,MNDL3F,MNDL3,,,,
13,Metal Leve,LEVE3F,LEVE3,,,,
14,Karsten,CTKA4F,CTKA3F,CTKA4,CTKA3,,
15,Iochpe-Maxion,MYPK3F,MYPK3,,,,
