Papel,ALUP11,Cotação,24.75,,
Tipo,UNT N2,Data últ cot,06/12/2021,,
Empresa,ALUPAR UNT N2,Min 52 sem,22.45,,
Setor,Energia Elétrica,Max 52 sem,28.15,,
Subsetor,Energia Elétrica,Vol $ méd (2m),25418100,,
Valor de mercado,7252670000,Últ balanço processado,30/09/2021,,
Valor da firma,15205400000,Nro. Ações,879111000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,08%",P/L,5.16,LPA,4.80
Mês,"2,44%",P/VP,1.10,VPA,22.54
30 dias,"2,19%",P/EBIT,1.57,Marg. Bruta,"72,9%"
12 meses,"0,61%",PSR,1.11,Marg. EBIT,"71,1%"
2021,"-5,66%",P/Ativos,0.30,Marg. Líquida,"43,0%"
2020,"1,14%",P/Cap. Giro,4.18,EBIT / Ativo,"18,9%"
2019,"53,50%",P/Ativ Circ Liq,-0.69,ROIC,"20,3%"
2018,"3,45%",Div. Yield,"3,4%",ROE,"21,3%"
2017,"10,91%",EV / EBITDA,3.19,Liquidez Corr,1.85
2016,"59,90%",EV / EBIT,3.28,Div Br/ Patrim,1.43
,,Cres. Rec (5a),"50,1%",Giro Ativos,0.27
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,24502300000,Dív. Bruta,9447340000,,
Disponibilidades,1494620000,Dív. Líquida,7952720000,,
Ativo Circulante,3773840000,Patrim. Líq,6603890000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,6511790000,Receita Líquida,1167650000,,
EBIT,4629540000,EBIT,810416000,,
Lucro Líquido,1405690000,Lucro Líquido,240316000,,
