Papel,AMBP3,Cotação,40.72,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,AMBIPAR ON NM,Min 52 sem,20.93,,
Setor,Água e Saneamento,Max 52 sem,69.45,,
Subsetor,Água e Saneamento,Vol $ méd (2m),69739900,,
Valor de mercado,4598750000,Últ balanço processado,30/09/2021,,
Valor da firma,6133250000,Nro. Ações,112936000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,12%",P/L,33.97,LPA,1.20
Mês,"3,25%",P/VP,3.91,VPA,10.42
30 dias,"3,48%",P/EBIT,18.85,Marg. Bruta,"21,3%"
12 meses,"48,93%",PSR,3.15,Marg. EBIT,"16,7%"
2021,"54,63%",P/Ativos,0.98,Marg. Líquida,"9,8%"
2020,"-10,92%",P/Cap. Giro,6.13,EBIT / Ativo,"5,2%"
2019,"0,00%",P/Ativ Circ Liq,-2.64,ROIC,"6,8%"
2018,"0,00%",Div. Yield,"0,2%",ROE,"11,5%"
2017,"0,00%",EV / EBITDA,16.17,Liquidez Corr,1.82
2016,"0,00%",EV / EBIT,25.14,Div Br/ Patrim,2.13
,,Cres. Rec (5a),-,Giro Ativos,0.31
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,4715590000,Dív. Bruta,2501680000,,
Disponibilidades,967179000,Dív. Líquida,1534500000,,
Ativo Circulante,1662100000,Patrim. Líq,1176380000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,1460550000,Receita Líquida,615982000,,
EBIT,243918000,EBIT,87692000,,
Lucro Líquido,135384000,Lucro Líquido,38055000,,
