,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,442000000.0,110000000.0,109000000.0,110000000.0
Total Liab,18367000000.0,18564000000.0,16026000000.0,17411000000.0
Total Stockholder Equity,2402000000.0,1917000000.0,1590000000.0,1410000000.0
Other Current Liab,699000000.0,535000000.0,577000000.0,927000000.0
Total Assets,20769000000.0,20481000000.0,17616000000.0,18821000000.0
Common Stock,787000000.0,779000000.0,761000000.0,761000000.0
Other Current Assets,243000000.0,225000000.0,90000000.0,94000000.0
Retained Earnings,1602000000.0,1127000000.0,822000000.0,645000000.0
Other Liab,299000000.0,336000000.0,392000000.0,373000000.0
Good Will,618000000.0,937000000.0,928000000.0,927000000.0
Treasury Stock,13000000.0,11000000.0,7000000.0,4000000.0
Other Assets,1121000000.0,1105000000.0,1107000000.0,1190000000.0
Cash,2881000000.0,4511000000.0,2764000000.0,3532000000.0
Total Current Liabilities,9167000000.0,8006000000.0,7248000000.0,8723000000.0
Short Long Term Debt,2379000000.0,2191000000.0,1864000000.0,2120000000.0
Other Stockholder Equity,13000000.0,11000000.0,7000000.0,4000000.0
Property Plant Equipment,8897000000.0,8160000000.0,7603000000.0,7476000000.0
Total Current Assets,8881000000.0,9371000000.0,7085000000.0,8349000000.0
Long Term Investments,810000000.0,798000000.0,784000000.0,769000000.0
Net Tangible Assets,1342000000.0,870000000.0,553000000.0,373000000.0
Net Receivables,1297000000.0,947000000.0,795000000.0,984000000.0
Long Term Debt,5784000000.0,7344000000.0,5708000000.0,5711000000.0
Inventory,4460000000.0,3688000000.0,3436000000.0,3739000000.0
Accounts Payable,5310000000.0,4505000000.0,4124000000.0,5058000000.0
