,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,444086000.0,421806000.0,375918000.0,359320000.0
Total Liab,35723929000.0,33129280000.0,32101283000.0,29943207000.0
Total Stockholder Equity,-17945934000.0,-15742550000.0,-16908830000.0,-14148750000.0
Other Current Liab,4486430000.0,4121537000.0,3845245000.0,4219325000.0
Total Assets,17777995000.0,17386730000.0,15192453000.0,15794457000.0
Common Stock,2290337000.0,2289312000.0,2266992000.0,2246367000.0
Other Current Assets,678760000.0,489794000.0,539654000.0,592779000.0
Retained Earnings,-22171973000.0,-19975677000.0,-21137728000.0,-18351102000.0
Other Liab,4017962000.0,3343742000.0,3461064000.0,2979931000.0
Good Will,901417000.0,901417000.0,810948000.0,810948000.0
Treasury Stock,1935702000.0,1943815000.0,1961906000.0,1955985000.0
Other Assets,3332465000.0,2172192000.0,2352472000.0,2888263000.0
Cash,3633321000.0,4339074000.0,2275430000.0,3064815000.0
Total Current Liabilities,11436048000.0,10362983000.0,10251474000.0,10212631000.0
Short Long Term Debt,749912000.0,250535000.0,524508000.0,858332000.0
Other Stockholder Equity,1942294000.0,1961205000.0,1976713000.0,1969167000.0
Property Plant Equipment,6328366000.0,6312075000.0,6187024000.0,6318503000.0
Total Current Assets,6771661000.0,6755204000.0,4562773000.0,5417423000.0
Net Tangible Assets,-19291437000.0,-17065773000.0,-18095696000.0,-15319018000.0
Short Term Investments,1180000.0,1049000.0,10624000.0,
Net Receivables,1766639000.0,1293270000.0,1134783000.0,1129073000.0
Long Term Debt,9646250000.0,9646952000.0,7254058000.0,6502182000.0
Inventory,519557000.0,479243000.0,454160000.0,402587000.0
Accounts Payable,1783546000.0,1914323000.0,2026304000.0,2238668000.0
Long Term Investments,,824036000.0,903318000.0,
