Papel,BALM3,Cotação,15.80,,
Tipo,ON,Data últ cot,03/12/2021,,
Empresa,BAUMER ON,Min 52 sem,15.21,,
Setor,Equipamentos,Max 52 sem,24.24,,
Subsetor,Equipamentos,Vol $ méd (2m),2680,,
Valor de mercado,154840000,Últ balanço processado,30/09/2021,,
Valor da firma,137979000,Nro. Ações,9800000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,20.52,LPA,0.77
Mês,"-0,06%",P/VP,1.29,VPA,12.21
30 dias,"0,00%",P/EBIT,10.57,Marg. Bruta,"54,8%"
12 meses,"-0,58%",PSR,1.08,Marg. EBIT,"10,2%"
2021,"-22,31%",P/Ativos,0.71,Marg. Líquida,"4,3%"
2020,"82,83%",P/Cap. Giro,1.73,EBIT / Ativo,"6,7%"
2019,"5,89%",P/Ativ Circ Liq,2.87,ROIC,"8,7%"
2018,"33,91%",Div. Yield,"2,2%",ROE,"6,3%"
2017,"56,56%",EV / EBITDA,7.66,Liquidez Corr,2.57
2016,"0,00%",EV / EBIT,9.42,Div Br/ Patrim,0.20
,,Cres. Rec (5a),"8,7%",Giro Ativos,0.66
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,217381000,Dív. Bruta,23825000,,
Disponibilidades,40686000,Dív. Líquida,-16861000,,
Ativo Circulante,146536000,Patrim. Líq,119668000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,143188000,Receita Líquida,32327000,,
EBIT,14649000,EBIT,1075000,,
Lucro Líquido,7546000,Lucro Líquido,2095000,,
