,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,-23860158000.0,2443585000.0,-2713674000.0,-42060589000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-24246848000.0,2228149000.0,-2650660000.0,-42644853000.0
Net Borrowings,-3174693000.0,-3437406000.0,-8915357000.0,-5828426000.0
Total Cash From Financing Activities,-7580003000.0,38521146000.0,6450956000.0,27926134000.0
Change To Operating Activities,-4098056000.0,-32972835000.0,-138340354000.0,106726780000.0
Net Income,4608838000.0,5523694000.0,4225907000.0,3199054000.0
Change In Cash,-11601472000.0,1555697000.0,-110243193000.0,98298167000.0
Effect Of Exchange Rate,3178331000.0,-6111318000.0,3664782000.0,-3759054000.0
Total Cash From Operating Activities,17047048000.0,-33082280000.0,-117708271000.0,116775940000.0
Depreciation,529109000.0,632807000.0,709987000.0,710264000.0
Other Cashflows From Investing Activities,575766000.0,243283000.0,334848000.0,422666000.0
Dividends Paid,-2483713000.0,-692959000.0,-1655581000.0,-1655581000.0
Other Cashflows From Financing Activities,-2892070000.0,43621984000.0,17021894000.0,35550119000.0
Change To Netincome,10577668000.0,3804359000.0,7549007000.0,3753609000.0
Capital Expenditures,-388436000.0,-275996000.0,-189723000.0,-613823000.0
