Papel,BBAS3,Cotação,32.60,,
Tipo,ON,Data últ cot,07/12/2021,,
Empresa,BANCO DO BRASIL S.A. ON,Min 52 sem,26.61,,
Setor,Intermediários Financeiros,Max 52 sem,37.52,,
Subsetor,Bancos,Vol $ méd (2m),470087000,,
Valor de mercado,93412600000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,2865420000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-1,42%",P/L,5.37,LPA,6.07
Mês,"2,39%",P/VP,0.68,VPA,47.72
30 dias,"12,60%",P/EBIT,-,Marg. Bruta,-
12 meses,"-5,03%",PSR,-,Marg. EBIT,-
2021,"-10,89%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"-24,04%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"18,75%",P/Ativ Circ Liq,-,ROIC,-
2018,"51,40%",Div. Yield,"6,8%",ROE,"12,7%"
2017,"16,36%",EV / EBITDA,-,Liquidez Corr,-
2016,"105,29%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"2,2%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,2033140000000,Depósitos,0,,
Cart. de Crédito,0,Patrim. Líq,136731000000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,40169300000,Result Int Financ,8153550000,,
Rec Serviços,18922900000,Rec Serviços,4782840000,,
Lucro Líquido,17392800000,Lucro Líquido,4541500000,,
