Papel,BBRK3,Cotação,1.03,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,BR Brokers ON NM,Min 52 sem,0.98,,
Setor,Exploração de Imóveis,Max 52 sem,4.00,,
Subsetor,Intermediação Imobiliária,Vol $ méd (2m),3161730,,
Valor de mercado,80887800,Últ balanço processado,30/09/2021,,
Valor da firma,60873800,Nro. Ações,78531800,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"3,00%",P/L,-0.64,LPA,-1.60
Mês,"-2,83%",P/VP,1.95,VPA,0.53
30 dias,"-32,68%",P/EBIT,-5.85,Marg. Bruta,"62,1%"
12 meses,"-54,63%",PSR,0.58,Marg. EBIT,"-10,0%"
2021,"-53,18%",P/Ativos,0.47,Marg. Líquida,"-93,4%"
2020,"-62,71%",P/Cap. Giro,-2.04,EBIT / Ativo,"-8,1%"
2019,"-6,35%",P/Ativ Circ Liq,-0.91,ROIC,"-9,6%"
2018,"-36,36%",Div. Yield,"0,0%",ROE,"-302,7%"
2017,"-32,65%",EV / EBITDA,-15.48,Liquidez Corr,0.50
2016,"18,55%",EV / EBIT,-4.40,Div Br/ Patrim,-
,,Cres. Rec (5a),"10,3%",Giro Ativos,0.81
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,170517000,Dív. Bruta,0,,
Disponibilidades,20014000,Dív. Líquida,-20014000,,
Ativo Circulante,40287000,Patrim. Líq,41469000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,138804000,Receita Líquida,42742000,,
EBIT,-13837000,EBIT,792000,,
Lucro Líquido,-125512000,Lucro Líquido,-9128000,,
