,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Investments,306027000.0,-449968000.0,149831000.0,-786186000.0
Change To Liabilities,134381000.0,150084000.0,12767000.0,138717000.0
Total Cashflows From Investing Activities,361039000.0,-304685000.0,421445000.0,-641988000.0
Total Cash From Financing Activities,-1040048000.0,-1000.0,-950625000.0,-950625000.0
Change To Operating Activities,44401000.0,-36159000.0,45807000.0,-26249000.0
Net Income,975821000.0,753702000.0,977062000.0,916619000.0
Change In Cash,166727000.0,404547000.0,-12943000.0,367856000.0
Total Cash From Operating Activities,845736000.0,709233000.0,516237000.0,1009844000.0
Depreciation,62000.0,61000.0,61000.0,62000.0
Other Cashflows From Investing Activities,55118000.0,145463000.0,271614000.0,144524000.0
Dividends Paid,-1040048000.0,-1000.0,-950625000.0,-950625000.0
Change To Account Receivables,-98668000.0,-80766000.0,412630000.0,-215484000.0
Change To Netincome,-403027000.0,-237466000.0,-469560000.0,-421680000.0
Capital Expenditures,-106000.0,-180000.0,-180000.0,-326000.0
Other Cashflows From Financing Activities,,,,2700000000.0
