,2018-03-31,2017-12-31,2017-09-30,2017-06-30
Investments,-374523000.0,-13829000.0,-194797000.0,539090000.0
Change To Liabilities,-10532000.0,-21642000.0,-13688000.0,18931000.0
Total Cashflows From Investing Activities,-350885000.0,34067000.0,-91160000.0,684626000.0
Net Borrowings,-434286000.0,590082000.0,-1661058000.0,-330540000.0
Total Cash From Financing Activities,8818236000.0,1360018000.0,-2513043000.0,-662962000.0
Change To Operating Activities,2594287000.0,-1701160000.0,-1169054000.0,5523829000.0
Net Income,600358000.0,660379000.0,500859000.0,502558000.0
Change In Cash,11915222000.0,317457000.0,-3779628000.0,5741623000.0
Total Cash From Operating Activities,3447871000.0,-1076628000.0,-1175425000.0,5719959000.0
Depreciation,39662000.0,112652000.0,57569000.0,95843000.0
Other Cashflows From Investing Activities,27216000.0,48966000.0,97563000.0,176552000.0
Dividends Paid,-608622000.0,-608622000.0,-630000000.0,-630000000.0
Other Cashflows From Financing Activities,9899027000.0,862999000.0,-211918000.0,-221195000.0
Change To Netincome,224096000.0,-126857000.0,-551111000.0,-421202000.0
Capital Expenditures,-3507000.0,-2288000.0,-3609000.0,-5474000.0
