Papel,BPAN4,Cotação,11.72,,
Tipo,PN,Data últ cot,06/12/2021,,
Empresa,BANCO PAN PN,Min 52 sem,9.18,,
Setor,Intermediários Financeiros,Max 52 sem,25.58,,
Subsetor,Bancos,Vol $ méd (2m),99222200,,
Valor de mercado,14123300000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,1205060000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,38%",P/L,18.70,LPA,0.63
Mês,"4,09%",P/VP,2.49,VPA,4.71
30 dias,"-10,26%",P/EBIT,-,Marg. Bruta,-
12 meses,"21,44%",PSR,-,Marg. EBIT,-
2021,"22,98%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"-6,93%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"449,22%",P/Ativ Circ Liq,-,ROIC,-
2018,"7,22%",Div. Yield,"1,8%",ROE,"13,3%"
2017,"46,35%",EV / EBITDA,-,Liquidez Corr,-
2016,"-28,08%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"12,8%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,44480400000,Depósitos,22498200000,,
Cart. de Crédito,30811800000,Patrim. Líq,5676190000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,6765440000,Result Int Financ,1739980000,,
Rec Serviços,698583000,Rec Serviços,206765000,,
Lucro Líquido,755069000,Lucro Líquido,191366000,,
