Papel,BPAR3,Cotação,182.07,,
Tipo,ON,Data últ cot,21/02/2019,,
Empresa,BANPARÁ S.A. ON,Min 52 sem,0.00,,
Setor,Intermediários Financeiros,Max 52 sem,0.00,,
Subsetor,Bancos,Vol $ méd (2m),0,,
Valor de mercado,1733670000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,9522000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,6.93,LPA,26.26
Mês,"0,00%",P/VP,1.06,VPA,171.42
30 dias,"0,00%",P/EBIT,-,Marg. Bruta,-
12 meses,"0,00%",PSR,-,Marg. EBIT,-
2021,"0,00%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"-98,92%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"23,47%",P/Ativ Circ Liq,-,ROIC,-
2018,"0,00%",Div. Yield,"0,0%",ROE,"15,3%"
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,-
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"5,8%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,13226700000,Depósitos,0,,
Cart. de Crédito,0,Patrim. Líq,1632210000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,1375080000,Result Int Financ,378530000,,
Rec Serviços,139424000,Rec Serviços,36201000,,
Lucro Líquido,250026000,Lucro Líquido,71754000,,
