Papel,BRAP3,Cotação,51.69,,
Tipo,ON N1,Data últ cot,06/12/2021,,
Empresa,BRADESPAR S/A ON N1,Min 52 sem,42.39,,
Setor,Mineração,Max 52 sem,59.90,,
Subsetor,Minerais Metálicos,Vol $ méd (2m),9281590,,
Valor de mercado,20319200000,Últ balanço processado,30/09/2021,,
Valor da firma,17764000000,Nro. Ações,393097000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"4,87%",P/L,3.73,LPA,13.85
Mês,"9,28%",P/VP,1.40,VPA,37.01
30 dias,"21,94%",P/EBIT,-736.87,Marg. Bruta,-
12 meses,"16,31%",PSR,-,Marg. EBIT,-
2021,"10,24%",P/Ativos,1.39,Marg. Líquida,"0,0%"
2020,"68,28%",P/Cap. Giro,7.96,EBIT / Ativo,"-0,2%"
2019,"27,12%",P/Ativ Circ Liq,7.96,ROIC,"-0,2%"
2018,"22,98%",Div. Yield,"8,1%",ROE,"37,4%"
2017,"107,39%",EV / EBITDA,-644.21,Liquidez Corr,65.33
2016,"196,00%",EV / EBIT,-644.21,Div Br/ Patrim,-
,,Cres. Rec (5a),-,Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,14587600000,Dív. Bruta,0,,
Disponibilidades,2555160000,Dív. Líquida,-2555160000,,
Ativo Circulante,2591810000,Patrim. Líq,14547000000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,0,Receita Líquida,0,,
EBIT,-27575000,EBIT,-8382000,,
Lucro Líquido,5444250000,Lucro Líquido,1175860000,,
