,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,2188083000.0,2141358000.0,2252983000.0,2242991000.0
Total Liab,45372602000.0,41206849000.0,43034664000.0,40851372000.0
Total Stockholder Equity,7599847000.0,8337034000.0,8299809000.0,8585784000.0
Minority Interest,76399000.0,74009000.0,80682000.0,227750000.0
Other Current Liab,2605774000.0,1787255000.0,1619724000.0,2097324000.0
Total Assets,53048848000.0,49617892000.0,51415155000.0,49664906000.0
Common Stock,12460471000.0,12553418000.0,12553418000.0,12460471000.0
Other Current Assets,516787000.0,918474000.0,871396000.0,1010051000.0
Retained Earnings,-3062798000.0,-2780682000.0,-2536540000.0,-2594028000.0
Other Liab,1715975000.0,1725294000.0,1926833000.0,1912356000.0
Good Will,4031431000.0,2878380000.0,3045307000.0,2935577000.0
Treasury Stock,-1797826000.0,-1435702000.0,-1717069000.0,-1280659000.0
Other Assets,9387185000.0,9289652000.0,9217008000.0,8976537000.0
Cash,6889844000.0,6941842000.0,8666822000.0,7576625000.0
Total Current Liabilities,20233893000.0,17420464000.0,16088237000.0,15440328000.0
Deferred Long Term Asset Charges,2505005000.0,2361035000.0,2189659000.0,2109064000.0
Short Long Term Debt,3047397000.0,2660549000.0,1806490000.0,1444953000.0
Other Stockholder Equity,-1692206000.0,-1329506000.0,-1593131000.0,-1156721000.0
Property Plant Equipment,12814967000.0,12368293000.0,12345777000.0,12244366000.0
Total Current Assets,24242226000.0,22597774000.0,24321881000.0,22911984000.0
Long Term Investments,384956000.0,342435000.0,232199000.0,353451000.0
Net Tangible Assets,1380333000.0,3317296000.0,3001519000.0,3407216000.0
Short Term Investments,343182000.0,316410000.0,314275000.0,314158000.0
Net Receivables,4565427000.0,3906535000.0,3929144000.0,5079381000.0
Long Term Debt,21353429000.0,20032486000.0,22908829000.0,21345169000.0
Inventory,11926986000.0,10514513000.0,10540244000.0,8931769000.0
Accounts Payable,11077197000.0,9751391000.0,9548379000.0,8996206000.0
