,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-254478000.0,-179056000.0,25271000.0,495046000.0
Minority Interest,76399000.0,74009000.0,80682000.0,227750000.0
Net Income,-282116000.0,-244142000.0,24442000.0,908824000.0
Selling General Administrative,1838439000.0,1711345000.0,1593010000.0,1771900000.0
Gross Profit,2666073000.0,2283413000.0,2258960000.0,2978203000.0
Ebit,798494000.0,564070000.0,669561000.0,1119939000.0
Operating Income,798494000.0,564070000.0,669561000.0,1119939000.0
Other Operating Expenses,26005000.0,2926000.0,-7031000.0,89353000.0
Interest Expense,-420851000.0,-503590000.0,-496575000.0,-509755000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,16505000.0,19503000.0,2810000.0,-407417000.0
Total Revenue,12389985000.0,11636901000.0,10591977000.0,11474118000.0
Total Operating Expenses,11591491000.0,11072831000.0,9922416000.0,10354179000.0
Cost Of Revenue,9723912000.0,9353488000.0,8333017000.0,8495915000.0
Total Other Income Expense Net,-1052972000.0,-743126000.0,-644290000.0,-624893000.0
Discontinued Operations,-6516000.0,-41286000.0,-41286000.0,-41286000.0
Net Income From Continuing Ops,-270983000.0,-198559000.0,22461000.0,902463000.0
Net Income Applicable To Common Shares,-282116000.0,-244142000.0,24442000.0,908824000.0
