Papel,BRML3,Cotação,7.93,,
Tipo,ON,Data últ cot,07/12/2021,,
Empresa,BR MALLS PARTICIPAÇÔES S/A ON,Min 52 sem,6.97,,
Setor,Exploração de Imóveis,Max 52 sem,11.80,,
Subsetor,Exploração de Imóveis,Vol $ méd (2m),166901000,,
Valor de mercado,6924010000,Últ balanço processado,30/09/2021,,
Valor da firma,9387650000,Nro. Ações,873141000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-1,98%",P/L,34.59,LPA,0.23
Mês,"0,38%",P/VP,0.65,VPA,12.27
30 dias,"1,80%",P/EBIT,11.37,Marg. Bruta,"90,4%"
12 meses,"-25,18%",PSR,6.74,Marg. EBIT,"59,3%"
2021,"-19,90%",P/Ativos,0.36,Marg. Líquida,"16,0%"
2020,"-45,12%",P/Cap. Giro,4.53,EBIT / Ativo,"3,1%"
2019,"47,31%",P/Ativ Circ Liq,-1.12,ROIC,"3,4%"
2018,"3,37%",Div. Yield,"0,0%",ROE,"1,9%"
2017,"23,29%",EV / EBITDA,14.39,Liquidez Corr,3.94
2016,"42,94%",EV / EBIT,15.41,Div Br/ Patrim,0.38
,,Cres. Rec (5a),"-6,2%",Giro Ativos,0.05
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,19408900000,Dív. Bruta,4086600000,,
Disponibilidades,1622960000,Dív. Líquida,2463640000,,
Ativo Circulante,2047780000,Patrim. Líq,10717700000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,1027520000,Receita Líquida,291742000,,
EBIT,609077000,EBIT,178641000,,
Lucro Líquido,200153000,Lucro Líquido,57149000,,
