Papel,BRSR3,Cotação,11.80,,
Tipo,ON,Data últ cot,06/12/2021,,
Empresa,BANRISUL S/A ON,Min 52 sem,11.40,,
Setor,Intermediários Financeiros,Max 52 sem,15.35,,
Subsetor,Bancos,Vol $ méd (2m),86933,,
Valor de mercado,4825890000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,408974000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,17%",P/L,5.17,LPA,2.28
Mês,"2,70%",P/VP,0.55,VPA,21.39
30 dias,"-6,72%",P/EBIT,-,Marg. Bruta,-
12 meses,"-17,05%",PSR,-,Marg. EBIT,-
2021,"-21,13%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"-29,62%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"12,69%",P/Ativ Circ Liq,-,ROIC,-
2018,"-10,72%",Div. Yield,"8,6%",ROE,"10,7%"
2017,"139,37%",EV / EBITDA,-,Liquidez Corr,-
2016,"36,24%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"8,8%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,101328000000,Depósitos,0,,
Cart. de Crédito,0,Patrim. Líq,8747130000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,5536570000,Result Int Financ,1200800000,,
Rec Serviços,1050670000,Rec Serviços,230170000,,
Lucro Líquido,933112000,Lucro Líquido,156602000,,
