Papel,BRSR6,Cotação,10.16,,
Tipo,PNB,Data últ cot,06/12/2021,,
Empresa,BANRISUL S/A PNB,Min 52 sem,9.89,,
Setor,Intermediários Financeiros,Max 52 sem,14.13,,
Subsetor,Bancos,Vol $ méd (2m),29169100,,
Valor de mercado,4155180000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,408974000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,70%",P/L,4.45,LPA,2.28
Mês,"0,59%",P/VP,0.48,VPA,21.39
30 dias,"-9,69%",P/EBIT,-,Marg. Bruta,-
12 meses,"-20,92%",PSR,-,Marg. EBIT,-
2021,"-26,21%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"-30,07%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"2,32%",P/Ativ Circ Liq,-,ROIC,-
2018,"65,96%",Div. Yield,"10,0%",ROE,"10,7%"
2017,"50,35%",EV / EBITDA,-,Liquidez Corr,-
2016,"96,75%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"8,8%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,101328000000,Depósitos,0,,
Cart. de Crédito,0,Patrim. Líq,8747130000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,5536570000,Result Int Financ,1200800000,,
Rec Serviços,1050670000,Rec Serviços,230170000,,
Lucro Líquido,933112000,Lucro Líquido,156602000,,
