Papel,BSLI4,Cotação,17.28,,
Tipo,ON,Data últ cot,02/12/2021,,
Empresa,BRB ON,Min 52 sem,13.83,,
Setor,Intermediários Financeiros,Max 52 sem,102.42,,
Subsetor,Bancos,Vol $ méd (2m),6110,,
Valor de mercado,6273450000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,363047000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,11.30,LPA,1.53
Mês,"24,91%",P/VP,2.75,VPA,6.29
30 dias,"9,80%",P/EBIT,-,Marg. Bruta,-
12 meses,"73,79%",PSR,-,Marg. EBIT,-
2021,"73,79%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"138,70%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"42,71%",P/Ativ Circ Liq,-,ROIC,-
2018,"38,54%",Div. Yield,"3,3%",ROE,"24,3%"
2017,"54,74%",EV / EBITDA,-,Liquidez Corr,-
2016,"16,13%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"9,6%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,27977900000,Depósitos,0,,
Cart. de Crédito,0,Patrim. Líq,2283750000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,1903600000,Result Int Financ,460713000,,
Rec Serviços,240545000,Rec Serviços,61777000,,
Lucro Líquido,555214000,Lucro Líquido,191553000,,
