Papel,CAML3,Cotação,9.53,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,CAMIL ON NM,Min 52 sem,8.55,,
Setor,Alimentos Processados,Max 52 sem,11.43,,
Subsetor,Alimentos Diversos,Vol $ méd (2m),18538300,,
Valor de mercado,3526100000,Últ balanço processado,31/08/2021,,
Valor da firma,4902030000,Nro. Ações,370000000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-0,94%",P/L,8.21,LPA,1.16
Mês,"0,20%",P/VP,1.30,VPA,7.31
30 dias,"-4,68%",P/EBIT,6.01,Marg. Bruta,"20,4%"
12 meses,"-11,05%",PSR,0.42,Marg. EBIT,"7,1%"
2021,"-12,08%",P/Ativos,0.53,Marg. Líquida,"5,2%"
2020,"29,27%",P/Cap. Giro,1.26,EBIT / Ativo,"8,8%"
2019,"30,39%",P/Ativ Circ Liq,8.73,ROIC,"13,1%"
2018,"-7,99%",Div. Yield,"7,4%",ROE,"15,9%"
2017,"-11,44%",EV / EBITDA,6.53,Liquidez Corr,2.74
2016,"0,00%",EV / EBIT,8.36,Div Br/ Patrim,1.01
,,Cres. Rec (5a),"24,0%",Giro Ativos,1.24
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,6690930000,Dív. Bruta,2741960000,,
Disponibilidades,1366030000,Dív. Líquida,1375930000,,
Ativo Circulante,4391500000,Patrim. Líq,2703230000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,8300080000,Receita Líquida,2218530000,,
EBIT,586701000,EBIT,145808000,,
Lucro Líquido,429281000,Lucro Líquido,106525000,,
