Papel,CASH3,Cotação,3.43,,
Tipo,ON NM,Data últ cot,07/12/2021,,
Empresa,MELIUZ ON NM,Min 52 sem,1.75,,
Setor,Programas e Serviços,Max 52 sem,12.33,,
Subsetor,Programas e Serviços,Vol $ méd (2m),189362000,,
Valor de mercado,2756340000,Últ balanço processado,30/09/2021,,
Valor da firma,2187570000,Nro. Ações,803598000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"13,58%",P/L,-575.32,LPA,-0.01
Mês,"14,72%",P/VP,3.86,VPA,0.89
30 dias,"-8,78%",P/EBIT,-303.26,Marg. Bruta,"-4,4%"
12 meses,"100,56%",PSR,13.23,Marg. EBIT,"-4,4%"
2021,"37,24%",P/Ativos,3.34,Marg. Líquida,"-1,1%"
2020,"58,95%",P/Cap. Giro,4.66,EBIT / Ativo,"-1,1%"
2019,"0,00%",P/Ativ Circ Liq,5.26,ROIC,"-3,6%"
2018,"0,00%",Div. Yield,"0,2%",ROE,"-0,7%"
2017,"0,00%",EV / EBITDA,-364.53,Liquidez Corr,21.09
2016,"0,00%",EV / EBIT,-240.68,Div Br/ Patrim,0.00
,,Cres. Rec (5a),-,Giro Ativos,0.25
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,826253000,Dív. Bruta,2210000,,
Disponibilidades,570982000,Dív. Líquida,-568772000,,
Ativo Circulante,620739000,Patrim. Líq,713849000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,208365000,Receita Líquida,58727000,,
EBIT,-9089000,EBIT,-10802000,,
Lucro Líquido,-4791000,Lucro Líquido,-4539000,,
