BSCT3,BESC S.A.,BANCO DO ESTADO DE SANTA CATARINA SA
BSCT5,BESC S.A.,BANCO DO ESTADO DE SANTA CATARINA SA
BSCT6,BESC S.A.,BANCO DO ESTADO DE SANTA CATARINA SA
CLSC3,CELESC,CENTRAIS ELETRICAS DE SANTA CATARINA S.A
CLSC4,CELESC,CENTRAIS ELETRICAS DE SANTA CATARINA S.A
CLSC5,CELESC,CENTRAIS ELETRICAS DE SANTA CATARINA S.A
CLSC6,CELESC,CENTRAIS ELETRICAS DE SANTA CATARINA S.A
FLCL3,CATAG LEOPOLDINA,CIA FORÇA E LUZ CATAGUAZES-LEOPOLDINA
FLCL5,CATAG LEOPOLDINA,CIA FORÇA E LUZ CATAGUAZES-LEOPOLDINA
FLCL6,CATAG LEOPOLDINA,CIA FORÇA E LUZ CATAGUAZES-LEOPOLDINA
