,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Intangible Assets,18057290000.0,17381032000.0,16146301000.0,16305446000.0
Total Liab,30523494000.0,27773238000.0,25555718000.0,25508858000.0
Total Stockholder Equity,8522987000.0,8207169000.0,8576584000.0,7741163000.0
Minority Interest,370118000.0,344303000.0,366685000.0,198599000.0
Other Current Liab,1017922000.0,2029249000.0,751856000.0,897011000.0
Total Assets,39416599000.0,36324710000.0,34498987000.0,33448620000.0
Common Stock,6022942000.0,6022942000.0,6022942000.0,6022942000.0
Other Current Assets,1073198000.0,741694000.0,364254000.0,361301000.0
Retained Earnings,1449774000.0,1265861000.0,1446002000.0,757070000.0
Other Liab,3355338000.0,3339961000.0,3371044000.0,2814138000.0
Treasury Stock,1050271000.0,918366000.0,1107640000.0,961151000.0
Other Assets,8493640000.0,8393550000.0,8115302000.0,7051924000.0
Cash,6572828000.0,3719157000.0,3597692000.0,3548987000.0
Total Current Liabilities,6712407000.0,7117715000.0,7130974000.0,7624209000.0
Deferred Long Term Asset Charges,866027000.0,937184000.0,911566000.0,908804000.0
Short Long Term Debt,4505172000.0,3966705000.0,5156327000.0,5372031000.0
Other Stockholder Equity,1050279000.0,918374000.0,1107640000.0,961151000.0
Property Plant Equipment,1119700000.0,1097437000.0,1148459000.0,1171478000.0
Total Current Assets,10890741000.0,8680040000.0,8237069000.0,8128080000.0
Long Term Investments,855228000.0,772651000.0,851856000.0,791692000.0
Net Tangible Assets,-9534303000.0,-9173863000.0,-7569717000.0,-8564283000.0
Net Receivables,1784418000.0,1576133000.0,1657779000.0,1538428000.0
Long Term Debt,20350574000.0,17210756000.0,14924418000.0,14942953000.0
Accounts Payable,592077000.0,615589000.0,598372000.0,730801000.0
Deferred Long Term Liab,,448000.0,582000.0,596000.0
