Papel,CEBR5,Cotação,16.19,,
Tipo,PNA,Data últ cot,06/12/2021,,
Empresa,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA PNA,Min 52 sem,16.00,,
Setor,Energia Elétrica,Max 52 sem,29.84,,
Subsetor,Energia Elétrica,Vol $ méd (2m),61480,,
Valor de mercado,1167010000,Últ balanço processado,30/09/2021,,
Valor da firma,-328352000,Nro. Ações,72082000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,12%",P/L,0.74,LPA,22.03
Mês,"-1,58%",P/VP,0.61,VPA,26.41
30 dias,"-12,49%",P/EBIT,6.71,Marg. Bruta,"-8,4%"
12 meses,"-11,86%",PSR,-1.36,Marg. EBIT,"-20,3%"
2021,"-9,01%",P/Ativos,0.53,Marg. Líquida,"-189,7%"
2020,"148,27%",P/Cap. Giro,0.73,EBIT / Ativo,"7,8%"
2019,"101,92%",P/Ativ Circ Liq,0.74,ROIC,"24,5%"
2018,"37,52%",Div. Yield,"117,1%",ROE,"83,4%"
2017,"-3,14%",EV / EBITDA,-1.80,Liquidez Corr,22.04
2016,"6,64%",EV / EBIT,-1.89,Div Br/ Patrim,-
,,Cres. Rec (5a),"-26,0%",Giro Ativos,-0.39
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,2220100000,Dív. Bruta,0,,
Disponibilidades,1495360000,Dív. Líquida,-1495360000,,
Ativo Circulante,1677760000,Patrim. Líq,1903810000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,-856733000,Receita Líquida,96606000,,
EBIT,174010000,EBIT,17914000,,
Lucro Líquido,1587670000,Lucro Líquido,31286000,,
