Papel,CESP5,Cotação,33.50,,
Tipo,PNA,Data últ cot,25/11/2021,,
Empresa,CESP CIA ENERGETICA SAO PAULO PNA,Min 52 sem,29.01,,
Setor,Energia Elétrica,Max 52 sem,47.23,,
Subsetor,Energia Elétrica,Vol $ méd (2m),246,,
Valor de mercado,10971400000,Últ balanço processado,30/09/2021,,
Valor da firma,12503100000,Nro. Ações,327503000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,5.25,LPA,6.38
Mês,"0,00%",P/VP,1.47,VPA,22.86
30 dias,"9,84%",P/EBIT,9.26,Marg. Bruta,"61,6%"
12 meses,"14,88%",PSR,5.09,Marg. EBIT,"55,0%"
2021,"-4,41%",P/Ativos,0.75,Marg. Líquida,"96,9%"
2020,"22,51%",P/Cap. Giro,37.99,EBIT / Ativo,"8,1%"
2019,"71,31%",P/Ativ Circ Liq,-1.83,ROIC,"8,5%"
2018,"8,29%",Div. Yield,"7,8%",ROE,"27,9%"
2017,"3,66%",EV / EBITDA,7.85,Liquidez Corr,1.37
2016,"102,93%",EV / EBIT,10.56,Div Br/ Patrim,0.26
,,Cres. Rec (5a),"10,0%",Giro Ativos,0.15
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,14537400000,Dív. Bruta,1929210000,,
Disponibilidades,397465000,Dív. Líquida,1531740000,,
Ativo Circulante,1063180000,Patrim. Líq,7485270000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,2154760000,Receita Líquida,572063000,,
EBIT,1184460000,EBIT,794266000,,
Lucro Líquido,2088670000,Lucro Líquido,395323000,,
