Papel,CESP6,Cotação,23.10,,
Tipo,PNB,Data últ cot,06/12/2021,,
Empresa,CESP CIA ENERGETICA SAO PAULO PNB,Min 52 sem,22.59,,
Setor,Energia Elétrica,Max 52 sem,28.79,,
Subsetor,Energia Elétrica,Vol $ méd (2m),67981600,,
Valor de mercado,7565320000,Últ balanço processado,30/09/2021,,
Valor da firma,9097060000,Nro. Ações,327503000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,61%",P/L,3.62,LPA,6.38
Mês,"-2,82%",P/VP,1.01,VPA,22.86
30 dias,"-11,97%",P/EBIT,6.39,Marg. Bruta,"61,6%"
12 meses,"-11,17%",PSR,3.51,Marg. EBIT,"55,0%"
2021,"-13,70%",P/Ativos,0.52,Marg. Líquida,"96,9%"
2020,"-0,94%",P/Cap. Giro,26.20,EBIT / Ativo,"8,1%"
2019,"51,52%",P/Ativ Circ Liq,-1.26,ROIC,"8,5%"
2018,"65,46%",Div. Yield,"11,2%",ROE,"27,9%"
2017,"0,55%",EV / EBITDA,5.71,Liquidez Corr,1.37
2016,"5,14%",EV / EBIT,7.68,Div Br/ Patrim,0.26
,,Cres. Rec (5a),"10,0%",Giro Ativos,0.15
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,14537400000,Dív. Bruta,1929210000,,
Disponibilidades,397465000,Dív. Líquida,1531740000,,
Ativo Circulante,1063180000,Patrim. Líq,7485270000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,2154760000,Receita Líquida,572063000,,
EBIT,1184460000,EBIT,794266000,,
Lucro Líquido,2088670000,Lucro Líquido,395323000,,
