Papel,CIEL3,Cotação,2.25,,
Tipo,ON NM,Data últ cot,07/12/2021,,
Empresa,CIELO ON NM,Min 52 sem,2.01,,
Setor,Serviços Financeiros Diversos,Max 52 sem,4.31,,
Subsetor,Serviços Financeiros Diversos,Vol $ méd (2m),91350800,,
Valor de mercado,6112830000,Últ balanço processado,30/09/2021,,
Valor da firma,2234890000,Nro. Ações,2716820000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-0,88%",P/L,6.56,LPA,0.34
Mês,"8,70%",P/VP,0.62,VPA,3.62
30 dias,"-0,78%",P/EBIT,6.59,Marg. Bruta,"39,2%"
12 meses,"-38,21%",PSR,1.24,Marg. EBIT,"18,9%"
2021,"-42,34%",P/Ativos,0.07,Marg. Líquida,"19,0%"
2020,"-51,46%",P/Cap. Giro,1.11,EBIT / Ativo,"1,0%"
2019,"-1,06%",P/Ativ Circ Liq,-3.13,ROIC,"9,3%"
2018,"-58,16%",Div. Yield,"6,4%",ROE,"9,5%"
2017,"4,66%",EV / EBITDA,1.56,Liquidez Corr,1.08
2016,"5,63%",EV / EBIT,2.41,Div Br/ Patrim,0.40
,,Cres. Rec (5a),"-16,7%",Giro Ativos,0.06
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,88716000000,Dív. Bruta,3965580000,,
Disponibilidades,7843520000,Dív. Líquida,-3877940000,,
Ativo Circulante,76936400000,Patrim. Líq,9824110000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,4915410000,Receita Líquida,1267380000,,
EBIT,927984000,EBIT,223894000,,
Lucro Líquido,931832000,Lucro Líquido,211942000,,
