Papel,COGN3,Cotação,2.49,,
Tipo,ON,Data últ cot,07/12/2021,,
Empresa,COGNA ON,Min 52 sem,2.35,,
Setor,Diversos,Max 52 sem,5.30,,
Subsetor,Serviços Educacionais,Vol $ méd (2m),111007000,,
Valor de mercado,4672750000,Últ balanço processado,30/09/2021,,
Valor da firma,10719900000,Nro. Ações,1876610000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-2,73%",P/L,-1.02,LPA,-2.44
Mês,"0,40%",P/VP,0.37,VPA,6.76
30 dias,"-7,09%",P/EBIT,-21.48,Marg. Bruta,"64,3%"
12 meses,"-51,27%",PSR,1.09,Marg. EBIT,"-5,1%"
2021,"-46,22%",P/Ativos,0.16,Marg. Líquida,"-107,2%"
2020,"-59,49%",P/Cap. Giro,1.70,EBIT / Ativo,"-0,8%"
2019,"30,33%",P/Ativ Circ Liq,-0.64,ROIC,"-0,9%"
2018,"-50,09%",Div. Yield,"0,0%",ROE,"-36,1%"
2017,"41,81%",EV / EBITDA,19.24,Liquidez Corr,1.54
2016,"45,76%",EV / EBIT,-49.29,Div Br/ Patrim,0.73
,,Cres. Rec (5a),"-5,6%",Giro Ativos,0.15
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,28898600000,Dív. Bruta,9215440000,,
Disponibilidades,3168250000,Dív. Líquida,6047190000,,
Ativo Circulante,7843680000,Patrim. Líq,12679000000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,4293490000,Receita Líquida,1022440000,,
EBIT,-217499000,EBIT,-96789000,,
Lucro Líquido,-4574080000,Lucro Líquido,-370222000,,
