Papel,CPLE6,Cotação,6.24,,
Tipo,PNB,Data últ cot,07/12/2021,,
Empresa,COPEL PNB,Min 52 sem,4.93,,
Setor,Energia Elétrica,Max 52 sem,6.80,,
Subsetor,Energia Elétrica,Vol $ méd (2m),122186000,,
Valor de mercado,17076100000,Últ balanço processado,30/09/2021,,
Valor da firma,22680100000,Nro. Ações,2736550000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,63%",P/L,3.02,LPA,2.07
Mês,"1,63%",P/VP,0.79,VPA,7.88
30 dias,"4,70%",P/EBIT,4.37,Marg. Bruta,"21,6%"
12 meses,"8,34%",PSR,0.75,Marg. EBIT,"17,1%"
2021,"-1,14%",P/Ativos,0.34,Marg. Líquida,"25,3%"
2020,"12,38%",P/Cap. Giro,7.79,EBIT / Ativo,"7,8%"
2019,"135,32%",P/Ativ Circ Liq,-1.07,ROIC,"9,3%"
2018,"31,27%",Div. Yield,"24,2%",ROE,"26,3%"
2017,"-2,79%",EV / EBITDA,4.59,Liquidez Corr,1.22
2016,"23,74%",EV / EBIT,5.81,Div Br/ Patrim,0.49
,,Cres. Rec (5a),"12,7%",Giro Ativos,0.46
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,49833900000,Dív. Bruta,10459000000,,
Disponibilidades,4855000000,Dív. Líquida,5604030000,,
Ativo Circulante,12014400000,Patrim. Líq,21564100000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,22872700000,Receita Líquida,6977780000,,
EBIT,3904330000,EBIT,844019000,,
Lucro Líquido,5663380000,Lucro Líquido,2829100000,,
