Papel,CSAN3,Cotação,21.97,,
Tipo,ON,Data últ cot,07/12/2021,,
Empresa,COSAN SA INDUSTRIA E COMERCIO ON,Min 52 sem,17.19,,
Setor,"Petróleo, Gás e Biocombustíveis",Max 52 sem,27.20,,
Subsetor,"Exploração, Refino e Distribuição",Vol $ méd (2m),171513000,,
Valor de mercado,41173300000,Últ balanço processado,30/09/2021,,
Valor da firma,72565700000,Nro. Ações,1874070000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,37%",P/L,7.53,LPA,2.92
Mês,"3,39%",P/VP,2.91,VPA,7.56
30 dias,"5,73%",P/EBIT,12.25,Marg. Bruta,"26,2%"
12 meses,"23,90%",PSR,1.86,Marg. EBIT,"15,2%"
2021,"17,41%",P/Ativos,0.45,Marg. Líquida,"26,7%"
2020,"11,18%",P/Cap. Giro,2.32,EBIT / Ativo,"3,7%"
2019,"112,49%",P/Ativ Circ Liq,-1.09,ROIC,"4,7%"
2018,"-17,07%",Div. Yield,"1,2%",ROE,"38,6%"
2017,"11,62%",EV / EBITDA,14.26,Liquidez Corr,2.92
2016,"70,54%",EV / EBIT,21.59,Div Br/ Patrim,3.32
,,Cres. Rec (5a),"28,7%",Giro Ativos,0.24
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,90876700000,Dív. Bruta,47020500000,,
Disponibilidades,15628200000,Dív. Líquida,31392300000,,
Ativo Circulante,26937500000,Patrim. Líq,14162100000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,22095100000,Receita Líquida,6890470000,,
EBIT,3361090000,EBIT,1205120000,,
Lucro Líquido,5466000000,Lucro Líquido,3264680000,,
