Papel,EEEL4,Cotação,350.00,,
Tipo,PN N1,Data últ cot,11/11/2021,,
Empresa,CEEE PN N1,Min 52 sem,236.72,,
Setor,Energia Elétrica,Max 52 sem,350.00,,
Subsetor,Energia Elétrica,Vol $ méd (2m),1750,,
Valor de mercado,3380300000,Últ balanço processado,30/09/2021,,
Valor da firma,3472730000,Nro. Ações,9658000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,7.69,LPA,45.52
Mês,"0,00%",P/VP,1.77,VPA,197.40
30 dias,"0,00%",P/EBIT,8.53,Marg. Bruta,"46,0%"
12 meses,"47,85%",PSR,2.85,Marg. EBIT,"33,5%"
2021,"26,42%",P/Ativos,0.76,Marg. Líquida,"36,1%"
2020,"27,18%",P/Cap. Giro,2.89,EBIT / Ativo,"8,9%"
2019,"125,56%",P/Ativ Circ Liq,-3.42,ROIC,"10,4%"
2018,"114,79%",Div. Yield,"12,3%",ROE,"23,1%"
2017,"87,21%",EV / EBITDA,8.30,Liquidez Corr,4.24
2016,"7.751,36%",EV / EBIT,8.76,Div Br/ Patrim,0.36
,,Cres. Rec (5a),"2,3%",Giro Ativos,0.27
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,4440130000,Dív. Bruta,681599000,,
Disponibilidades,589168000,Dív. Líquida,92431000,,
Ativo Circulante,1530570000,Patrim. Líq,1906490000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,1184060000,Receita Líquida,281399000,,
EBIT,396455000,EBIT,141750000,,
Lucro Líquido,439656000,Lucro Líquido,81035000,,
