Papel,ELET3,Cotação,35.14,,
Tipo,ON,Data últ cot,07/12/2021,,
Empresa,ELETROBRÁS ON,Min 52 sem,25.39,,
Setor,Energia Elétrica,Max 52 sem,47.57,,
Subsetor,Energia Elétrica,Vol $ méd (2m),182802000,,
Valor de mercado,55132200000,Últ balanço processado,30/09/2021,,
Valor da firma,79904500000,Nro. Ações,1568930000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-1,51%",P/L,8.58,LPA,4.09
Mês,"7,69%",P/VP,0.72,VPA,48.52
30 dias,"2,84%",P/EBIT,-15.66,Marg. Bruta,"65,9%"
12 meses,"12,39%",PSR,1.86,Marg. EBIT,"-11,8%"
2021,"3,07%",P/Ativos,0.29,Marg. Líquida,"21,8%"
2020,"1,11%",P/Cap. Giro,2.96,EBIT / Ativo,"-1,8%"
2019,"59,97%",P/Ativ Circ Liq,-0.77,ROIC,"-2,1%"
2018,"25,29%",Div. Yield,"6,8%",ROE,"8,4%"
2017,"-15,20%",EV / EBITDA,-48.49,Liquidez Corr,1.70
2016,"319,62%",EV / EBIT,-22.70,Div Br/ Patrim,0.64
,,Cres. Rec (5a),"-7,4%",Giro Ativos,0.15
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,193255000000,Dív. Bruta,49098500000,,
Disponibilidades,24326200000,Dív. Líquida,24772300000,,
Ativo Circulante,45209100000,Patrim. Líq,76128500000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,29720400000,Receita Líquida,9956630000,,
EBIT,-3519680000,EBIT,-1457520000,,
Lucro Líquido,6422970000,Lucro Líquido,923845000,,
