Papel,EMBR3,Cotação,20.30,,
Tipo,ON,Data últ cot,07/12/2021,,
Empresa,EMBRAER ON,Min 52 sem,8.22,,
Setor,Material de Transporte,Max 52 sem,26.05,,
Subsetor,Material Aeronáutico e de Defesa,Vol $ méd (2m),207096000,,
Valor de mercado,15031400000,Últ balanço processado,30/09/2021,,
Valor da firma,25122700000,Nro. Ações,740465000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,35%",P/L,-51.22,LPA,-0.40
Mês,"6,06%",P/VP,1.02,VPA,19.83
30 dias,"-12,16%",P/EBIT,7.63,Marg. Bruta,"15,3%"
12 meses,"115,65%",PSR,0.57,Marg. EBIT,"7,5%"
2021,"129,38%",P/Ativos,0.27,Marg. Líquida,"-1,1%"
2020,"-55,35%",P/Cap. Giro,0.90,EBIT / Ativo,"3,5%"
2019,"-8,99%",P/Ativ Circ Liq,-1.78,ROIC,"4,9%"
2018,"8,89%",Div. Yield,"0,0%",ROE,"-2,0%"
2017,"27,14%",EV / EBITDA,7.94,Liquidez Corr,2.04
2016,"-45,13%",EV / EBIT,12.75,Div Br/ Patrim,1.60
,,Cres. Rec (5a),"2,4%",Giro Ativos,0.47
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,56475700000,Dív. Bruta,23429300000,,
Disponibilidades,13338000000,Dív. Líquida,10091300000,,
Ativo Circulante,32744300000,Patrim. Líq,14686800000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,26378700000,Receita Líquida,5010380000,,
EBIT,1969700000,EBIT,448218000,,
Lucro Líquido,-293454000,Lucro Líquido,-234300000,,
