Papel,ENGI11,Cotação,45.62,,
Tipo,UNT N2,Data últ cot,07/12/2021,,
Empresa,ENERGISA UNT N2,Min 52 sem,39.28,,
Setor,Energia Elétrica,Max 52 sem,50.34,,
Subsetor,Energia Elétrica,Vol $ méd (2m),102455000,,
Valor de mercado,16556100000,Últ balanço processado,30/09/2021,,
Valor da firma,33141300000,Nro. Ações,1814560000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-1,36%",P/L,6.80,LPA,6.71
Mês,"0,29%",P/VP,1.89,VPA,24.11
30 dias,"12,31%",P/EBIT,3.68,Marg. Bruta,"21,1%"
12 meses,"0,32%",PSR,0.65,Marg. EBIT,"17,6%"
2021,"-9,37%",P/Ativos,0.32,Marg. Líquida,"10,5%"
2020,"-0,99%",P/Cap. Giro,5.42,EBIT / Ativo,"8,7%"
2019,"48,00%",P/Ativ Circ Liq,-0.59,ROIC,"10,1%"
2018,"39,76%",Div. Yield,"3,8%",ROE,"27,8%"
2017,"50,55%",EV / EBITDA,5.77,Liquidez Corr,1.28
2016,"36,10%",EV / EBIT,7.36,Div Br/ Patrim,2.40
,,Cres. Rec (5a),"16,8%",Giro Ativos,0.50
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,51692700000,Dív. Bruta,20969800000,,
Disponibilidades,4384540000,Dív. Líquida,16585200000,,
Ativo Circulante,13971800000,Patrim. Líq,8748260000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,25614300000,Receita Líquida,7796980000,,
EBIT,4502450000,EBIT,1510440000,,
Lucro Líquido,2435570000,Lucro Líquido,796450000,,
