Papel,FESA3,Cotação,50.00,,
Tipo,ON,Data últ cot,06/12/2021,,
Empresa,FERBASA ON,Min 52 sem,29.57,,
Setor,Siderurgia e Metalurgia,Max 52 sem,60.33,,
Subsetor,Siderurgia,Vol $ méd (2m),19394,,
Valor de mercado,4416000000,Últ balanço processado,30/09/2021,,
Valor da firma,4358570000,Nro. Ações,88320000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,9.95,LPA,5.02
Mês,"0,00%",P/VP,2.02,VPA,24.75
30 dias,"0,02%",P/EBIT,7.00,Marg. Bruta,"37,1%"
12 meses,"65,80%",PSR,2.03,Marg. EBIT,"29,0%"
2021,"60,97%",P/Ativos,1.41,Marg. Líquida,"20,4%"
2020,"-3,60%",P/Cap. Giro,5.07,EBIT / Ativo,"20,2%"
2019,"42,09%",P/Ativ Circ Liq,14.32,ROIC,"24,6%"
2018,"34,00%",Div. Yield,"1,5%",ROE,"20,3%"
2017,"73,44%",EV / EBITDA,5.54,Liquidez Corr,3.33
2016,"36,17%",EV / EBIT,6.91,Div Br/ Patrim,0.19
,,Cres. Rec (5a),"14,7%",Giro Ativos,0.69
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,3126690000,Dív. Bruta,412972000,,
Disponibilidades,470406000,Dív. Líquida,-57434000,,
Ativo Circulante,1245420000,Patrim. Líq,2185840000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,2171210000,Receita Líquida,679158000,,
EBIT,630591000,EBIT,236938000,,
Lucro Líquido,443794000,Lucro Líquido,232969000,,
