Papel,FLRY3,Cotação,18.80,,
Tipo,ON NM,Data últ cot,07/12/2021,,
Empresa,FLEURY ON NM,Min 52 sem,16.93,,
Setor,Serv.Méd.Hospit. Análises e Diagnósticos,Max 52 sem,28.01,,
Subsetor,Serv.Méd.Hospit. Análises e Diagnósticos,Vol $ méd (2m),42482400,,
Valor de mercado,5977350000,Últ balanço processado,30/09/2021,,
Valor da firma,8040270000,Nro. Ações,317944000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,84%",P/L,14.28,LPA,1.32
Mês,"7,61%",P/VP,3.29,VPA,5.71
30 dias,"-9,13%",P/EBIT,8.33,Marg. Bruta,"30,6%"
12 meses,"-28,37%",PSR,1.58,Marg. EBIT,"19,0%"
2021,"-28,16%",P/Ativos,0.98,Marg. Líquida,"11,1%"
2020,"-9,34%",P/Cap. Giro,8.20,EBIT / Ativo,"11,8%"
2019,"61,88%",P/Ativ Circ Liq,-2.50,ROIC,"14,8%"
2018,"-30,99%",Div. Yield,"4,6%",ROE,"23,1%"
2017,"68,91%",EV / EBITDA,7.32,Liquidez Corr,1.62
2016,"150,08%",EV / EBIT,11.20,Div Br/ Patrim,1.67
,,Cres. Rec (5a),"10,9%",Giro Ativos,0.62
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,6105850000,Dív. Bruta,3027660000,,
Disponibilidades,964742000,Dív. Líquida,2062920000,,
Ativo Circulante,1901070000,Patrim. Líq,1814990000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,3782860000,Receita Líquida,1028830000,,
EBIT,717913000,EBIT,186146000,,
Lucro Líquido,418592000,Lucro Líquido,94963000,,
