Papel,GBIO33,Cotação,10.40,,
Tipo,DR3,Data últ cot,27/08/2020,,
Empresa,BIOTOSCANA DR3,Min 52 sem,9.87,,
Setor,Medicamentos e Outros Produtos,Max 52 sem,10.40,,
Subsetor,Medicamentos e Outros Produtos,Vol $ méd (2m),0,,
Valor de mercado,1108870000,Últ balanço processado,30/06/2020,,
Valor da firma,1315840000,Nro. Ações,106622000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,-14.97,LPA,-0.69
Mês,"0,00%",P/VP,1.32,VPA,7.86
30 dias,"0,00%",P/EBIT,13.53,Marg. Bruta,"43,5%"
12 meses,"6,12%",PSR,1.52,Marg. EBIT,"11,2%"
2021,"0,00%",P/Ativos,0.79,Marg. Líquida,"-10,1%"
2020,"4,63%",P/Cap. Giro,7.57,EBIT / Ativo,"5,8%"
2019,"19,90%",P/Ativ Circ Liq,17.58,ROIC,"7,1%"
2018,"-59,76%",Div. Yield,"0,0%",ROE,"-8,8%"
2017,"-24,46%",EV / EBITDA,16.06,Liquidez Corr,1.31
2016,"0,00%",EV / EBIT,16.06,Div Br/ Patrim,0.31
,,Cres. Rec (5a),"-9,0%",Giro Ativos,0.52
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,1401470000,Dív. Bruta,263755000,,
Disponibilidades,56787500,Dív. Líquida,206967000,,
Ativo Circulante,626114000,Patrim. Líq,838439000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,730703000,Receita Líquida,194393000,,
EBIT,81927400,EBIT,15522100,,
Lucro Líquido,-74069400,Lucro Líquido,-7355130,,
