Papel,GEPA3,Cotação,32.00,,
Tipo,ON,Data últ cot,01/12/2021,,
Empresa,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA ON",Min 52 sem,31.50,,
Setor,Energia Elétrica,Max 52 sem,42.61,,
Subsetor,Energia Elétrica,Vol $ méd (2m),3115,,
Valor de mercado,3021860000,Últ balanço processado,30/09/2021,,
Valor da firma,4158480000,Nro. Ações,94433000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,6.24,LPA,5.13
Mês,"0,00%",P/VP,1.58,VPA,20.22
30 dias,"1,59%",P/EBIT,2.96,Marg. Bruta,"83,3%"
12 meses,"-15,97%",PSR,2.33,Marg. EBIT,"78,9%"
2021,"-17,72%",P/Ativos,0.78,Marg. Líquida,"37,4%"
2020,"-6,78%",P/Cap. Giro,-5.11,EBIT / Ativo,"26,5%"
2019,"60,02%",P/Ativ Circ Liq,-1.83,ROIC,"31,3%"
2018,"-8,67%",Div. Yield,"10,9%",ROE,"25,4%"
2017,"21,57%",EV / EBITDA,3.70,Liquidez Corr,0.34
2016,"-4,21%",EV / EBIT,4.07,Div Br/ Patrim,0.65
,,Cres. Rec (5a),"-1,0%",Giro Ativos,0.34
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,3861610000,Dív. Bruta,1250140000,,
Disponibilidades,113517000,Dív. Líquida,1136620000,,
Ativo Circulante,303546000,Patrim. Líq,1909890000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,1295520000,Receita Líquida,404557000,,
EBIT,1022370000,EBIT,-514000,,
Lucro Líquido,484234000,Lucro Líquido,-13607000,,
