Papel,GGPS3,Cotação,16.20,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,GPS ON NM,Min 52 sem,11.91,,
Setor,Serviços Diversos,Max 52 sem,19.76,,
Subsetor,Serviços Diversos,Vol $ méd (2m),23387300,,
Valor de mercado,10813400000,Últ balanço processado,30/09/2021,,
Valor da firma,10805400000,Nro. Ações,667491000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"3,85%",P/L,0.00,LPA,0.00
Mês,"11,65%",P/VP,4.99,VPA,3.25
30 dias,"-2,24%",P/EBIT,-,Marg. Bruta,-
12 meses,"28,01%",PSR,-,Marg. EBIT,-
2021,"28,01%",P/Ativos,1.95,Marg. Líquida,-
2020,"0,00%",P/Cap. Giro,7.48,EBIT / Ativo,"0,0%"
2019,"0,00%",P/Ativ Circ Liq,-23.84,ROIC,-
2018,"0,00%",Div. Yield,"1,2%",ROE,-
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,1.97
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,0.62
,,Cres. Rec (5a),-,Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,5554120000,Dív. Bruta,1352010000,,
Disponibilidades,1359920000,Dív. Líquida,-7910020,,
Ativo Circulante,2932100000,Patrim. Líq,2166720000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,0,Receita Líquida,1658910000,,
EBIT,0,EBIT,165423000,,
Lucro Líquido,0,Lucro Líquido,99298000,,
