Papel,GMAT3,Cotação,6.10,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,GRUPO MATEUS ON NM,Min 52 sem,5.69,,
Setor,Comércio e Distribuição,Max 52 sem,9.00,,
Subsetor,Alimentos,Vol $ méd (2m),37686000,,
Valor de mercado,13477000000,Últ balanço processado,30/09/2021,,
Valor da firma,13862900000,Nro. Ações,2209350000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"3,57%",P/L,17.99,LPA,0.34
Mês,"4,10%",P/VP,2.17,VPA,2.81
30 dias,"-15,16%",P/EBIT,14.33,Marg. Bruta,"23,6%"
12 meses,"-26,95%",PSR,0.89,Marg. EBIT,"6,2%"
2021,"-27,03%",P/Ativos,1.46,Marg. Líquida,"5,0%"
2020,"-6,61%",P/Cap. Giro,2.91,EBIT / Ativo,"10,2%"
2019,"0,00%",P/Ativ Circ Liq,4.12,ROIC,"13,1%"
2018,"0,00%",Div. Yield,"0,0%",ROE,"12,1%"
2017,"0,00%",EV / EBITDA,11.65,Liquidez Corr,3.96
2016,"0,00%",EV / EBIT,14.74,Div Br/ Patrim,0.22
,,Cres. Rec (5a),-,Giro Ativos,1.64
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,9205960000,Dív. Bruta,1345020000,,
Disponibilidades,959079000,Dív. Líquida,385939000,,
Ativo Circulante,6206470000,Patrim. Líq,6197320000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,15081000000,Receita Líquida,4349130000,,
EBIT,940483000,EBIT,314581000,,
Lucro Líquido,749287000,Lucro Líquido,209911000,,
