Papel,HOOT4,Cotação,2.84,,
Tipo,PN,Data últ cot,06/12/2021,,
Empresa,HOTEIS OTHON S.A. PN,Min 52 sem,2.55,,
Setor,Hoteis e Restaurantes,Max 52 sem,5.50,,
Subsetor,Hotelaria,Vol $ méd (2m),214608,,
Valor de mercado,52176500,Últ balanço processado,30/09/2021,,
Valor da firma,49401500,Nro. Ações,18372000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,43%",P/L,-1.12,LPA,-2.53
Mês,"-2,74%",P/VP,-0.11,VPA,-25.39
30 dias,"-8,68%",P/EBIT,-1.78,Marg. Bruta,"60,3%"
12 meses,"-1,05%",PSR,1.57,Marg. EBIT,"-88,5%"
2021,"0,71%",P/Ativos,0.11,Marg. Líquida,"-139,9%"
2020,"20,00%",P/Cap. Giro,-0.08,EBIT / Ativo,"-6,2%"
2019,"23,04%",P/Ativ Circ Liq,-0.06,ROIC,"-6,4%"
2018,"-29,00%",Div. Yield,"0,0%",ROE,"10,0%"
2017,"-18,73%",EV / EBITDA,-2.68,Liquidez Corr,0.04
2016,"-12,89%",EV / EBIT,-1.68,Div Br/ Patrim,-0.00
,,Cres. Rec (5a),"-28,4%",Giro Ativos,0.07
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,474110000,Dív. Bruta,1220000,,
Disponibilidades,3995000,Dív. Líquida,-2775000,,
Ativo Circulante,25469000,Patrim. Líq,-466395000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,33174000,Receita Líquida,9775000,,
EBIT,-29363000,EBIT,-4211000,,
Lucro Líquido,-46426000,Lucro Líquido,1367000,,
