Papel,IGTI3,Cotação,28.62,,
Tipo,ON N1,Data últ cot,06/12/2021,,
Empresa,IGUATEMI S.A ON N1,Min 52 sem,21.43,,
Setor,Exploração de Imóveis,Max 52 sem,36.68,,
Subsetor,Exploração de Imóveis,Vol $ méd (2m),7804820,,
Valor de mercado,5291150000,Últ balanço processado,30/09/2021,,
Valor da firma,7229230000,Nro. Ações,184876000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"6,95%",P/L,31.58,LPA,0.91
Mês,"2,76%",P/VP,3.00,VPA,9.53
30 dias,"-0,07%",P/EBIT,20.19,Marg. Bruta,"52,8%"
12 meses,"9,41%",PSR,7.27,Marg. EBIT,"36,0%"
2021,"9,32%",P/Ativos,0.73,Marg. Líquida,"46,3%"
2020,"-30,45%",P/Cap. Giro,3.65,EBIT / Ativo,"3,6%"
2019,"68,60%",P/Ativ Circ Liq,-2.62,ROIC,"4,6%"
2018,"18,94%",Div. Yield,"0,2%",ROE,"9,5%"
2017,"175,59%",EV / EBITDA,17.38,Liquidez Corr,5.31
2016,"7,21%",EV / EBIT,27.58,Div Br/ Patrim,1.94
,,Cres. Rec (5a),"1,0%",Giro Ativos,0.10
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,7251830000,Dív. Bruta,3417690000,,
Disponibilidades,1479620000,Dív. Líquida,1938080000,,
Ativo Circulante,1785670000,Patrim. Líq,1762140000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,727631000,Receita Líquida,209921000,,
EBIT,262091000,EBIT,82763000,,
Lucro Líquido,167568000,Lucro Líquido,-62917000,,
