Papel,ITUB4,Cotação,22.96,,
Tipo,PN N1,Data últ cot,07/12/2021,,
Empresa,ITAUUNIBANCO PN N1,Min 52 sem,20.01,,
Setor,Intermediários Financeiros,Max 52 sem,27.03,,
Subsetor,Bancos,Vol $ méd (2m),986533000,,
Valor de mercado,225103000000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,9804140000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-1,25%",P/L,8.61,LPA,2.67
Mês,"2,67%",P/VP,1.65,VPA,13.95
30 dias,"1,44%",P/EBIT,-,Marg. Bruta,-
12 meses,"-5,95%",PSR,-,Marg. EBIT,-
2021,"-9,44%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"-11,75%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"11,98%",P/Ativ Circ Liq,-,ROIC,-
2018,"32,41%",Div. Yield,"4,2%",ROE,"19,1%"
2017,"29,64%",EV / EBITDA,-,Liquidez Corr,-
2016,"56,02%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"-35,6%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,216468000000,Depósitos,0,,
Cart. de Crédito,0,Patrim. Líq,136812000000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,410000000,Result Int Financ,-223000000,,
Rec Serviços,0,Rec Serviços,0,,
Lucro Líquido,26152000000,Lucro Líquido,5723000000,,
