Papel,JBSS3,Cotação,34.41,,
Tipo,ON NM,Data últ cot,07/12/2021,,
Empresa,JBS ON NM,Min 52 sem,20.39,,
Setor,Alimentos Processados,Max 52 sem,38.02,,
Subsetor,Carnes e Derivados,Vol $ méd (2m),410159000,,
Valor de mercado,81684800000,Últ balanço processado,30/09/2021,,
Valor da firma,141566000000,Nro. Ações,2373870000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,99%",P/L,4.53,LPA,7.60
Mês,"-3,48%",P/VP,1.75,VPA,19.61
30 dias,"-8,85%",P/EBIT,3.04,Marg. Bruta,"17,7%"
12 meses,"64,51%",PSR,0.25,Marg. EBIT,"8,1%"
2021,"59,37%",P/Ativos,0.42,Marg. Líquida,"5,5%"
2020,"-6,46%",P/Cap. Giro,2.97,EBIT / Ativo,"13,7%"
2019,"122,60%",P/Ativ Circ Liq,-1.23,ROIC,"18,6%"
2018,"18,75%",Div. Yield,"9,3%",ROE,"38,7%"
2017,"-13,63%",EV / EBITDA,3.99,Liquidez Corr,1.53
2016,"-0,88%",EV / EBIT,5.27,Div Br/ Patrim,1.81
,,Cres. Rec (5a),"19,4%",Giro Ativos,1.68
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,196027000000,Dív. Bruta,84360300000,,
Disponibilidades,24479000000,Dív. Líquida,59881200000,,
Ativo Circulante,79367900000,Patrim. Líq,46554500000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,329563000000,Receita Líquida,92625300000,,
EBIT,26838900000,EBIT,10806400000,,
Lucro Líquido,18032900000,Lucro Líquido,7585570000,,
