Papel,KLBN4,Cotação,4.73,,
Tipo,PN N2,Data últ cot,06/12/2021,,
Empresa,KLABIN PN N2,Min 52 sem,4.13,,
Setor,Madeira e Papel,Max 52 sem,6.05,,
Subsetor,Papel e Celulose,Vol $ méd (2m),3096660,,
Valor de mercado,26572600000,Últ balanço processado,30/09/2021,,
Valor da firma,46522300000,Nro. Ações,5617890000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"3,96%",P/L,8.02,LPA,0.59
Mês,"6,53%",P/VP,4.92,VPA,0.96
30 dias,"11,03%",P/EBIT,6.07,Marg. Bruta,"42,3%"
12 meses,"-0,46%",PSR,1.75,Marg. EBIT,"28,8%"
2021,"-7,71%",P/Ativos,0.65,Marg. Líquida,"23,4%"
2020,"47,20%",P/Cap. Giro,3.07,EBIT / Ativo,"10,7%"
2019,"31,67%",P/Ativ Circ Liq,-1.31,ROIC,"14,9%"
2018,"-3,89%",Div. Yield,"1,5%",ROE,"61,4%"
2017,"14,11%",EV / EBITDA,6.69,Liquidez Corr,2.60
2016,"-17,88%",EV / EBIT,10.63,Div Br/ Patrim,5.35
,,Cres. Rec (5a),"15,2%",Giro Ativos,0.37
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,40836100000,Dív. Bruta,28902900000,,
Disponibilidades,8953220000,Dív. Líquida,19949700000,,
Ativo Circulante,14075300000,Patrim. Líq,5398000000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,15192500000,Receita Líquida,4358230000,,
EBIT,4375590000,EBIT,1652680000,,
Lucro Líquido,3313760000,Lucro Líquido,963797000,,
