Papel,LEVE3,Cotação,30.60,,
Tipo,ON,Data últ cot,06/12/2021,,
Empresa,MAHLE METAL LEVE ON,Min 52 sem,16.84,,
Setor,Automóveis e Motocicletas,Max 52 sem,43.26,,
Subsetor,Automóveis e Motocicletas,Vol $ méd (2m),23353500,,
Valor de mercado,3926260000,Últ balanço processado,30/09/2021,,
Valor da firma,3870860000,Nro. Ações,128309000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"5,05%",P/L,7.31,LPA,4.18
Mês,"4,47%",P/VP,2.28,VPA,13.40
30 dias,"-7,33%",P/EBIT,5.81,Marg. Bruta,"29,1%"
12 meses,"58,91%",PSR,1.14,Marg. EBIT,"19,6%"
2021,"51,26%",P/Ativos,1.35,Marg. Líquida,"15,6%"
2020,"-26,99%",P/Cap. Giro,4.78,EBIT / Ativo,"23,1%"
2019,"24,46%",P/Ativ Circ Liq,9.47,ROIC,"29,2%"
2018,"12,66%",Div. Yield,"3,0%",ROE,"31,2%"
2017,"17,98%",EV / EBITDA,4.99,Liquidez Corr,2.03
2016,"-9,98%",EV / EBIT,5.73,Div Br/ Patrim,0.14
,,Cres. Rec (5a),"7,8%",Giro Ativos,1.18
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,2918550000,Dív. Bruta,239496000,,
Disponibilidades,294891000,Dív. Líquida,-55395000,,
Ativo Circulante,1616630000,Patrim. Líq,1719860000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,3450250000,Receita Líquida,949478000,,
EBIT,675475000,EBIT,167088000,,
Lucro Líquido,536946000,Lucro Líquido,139830000,,
