Papel,LVTC3,Cotação,16.50,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,WDC NETWORKS ON NM,Min 52 sem,15.50,,
Setor,Programas e Serviços,Max 52 sem,26.73,,
Subsetor,Programas e Serviços,Vol $ méd (2m),4510150,,
Valor de mercado,1061430000,Últ balanço processado,30/09/2021,,
Valor da firma,886978000,Nro. Ações,64329100,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"6,45%",P/L,0.00,LPA,0.00
Mês,"4,76%",P/VP,1.72,VPA,9.58
30 dias,"-10,08%",P/EBIT,-,Marg. Bruta,-
12 meses,"-25,31%",PSR,-,Marg. EBIT,-
2021,"-25,31%",P/Ativos,0.69,Marg. Líquida,-
2020,"0,00%",P/Cap. Giro,2.72,EBIT / Ativo,"0,0%"
2019,"0,00%",P/Ativ Circ Liq,29.21,ROIC,-
2018,"0,00%",Div. Yield,"0,0%",ROE,-
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,1.69
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),-,Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,1532980000,Dív. Bruta,0,,
Disponibilidades,174452000,Dív. Líquida,-174452000,,
Ativo Circulante,953159000,Patrim. Líq,616160000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,0,Receita Líquida,288186000,,
EBIT,0,EBIT,55272000,,
Lucro Líquido,0,Lucro Líquido,12099000,,
