Papel,MBLY3,Cotação,5.37,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,MOBLY ON NM,Min 52 sem,4.42,,
Setor,Programas e Serviços,Max 52 sem,26.40,,
Subsetor,Programas e Serviços,Vol $ méd (2m),4955520,,
Valor de mercado,571851000,Últ balanço processado,30/09/2021,,
Valor da firma,420426000,Nro. Ações,106490000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"5,29%",P/L,-6.23,LPA,-0.86
Mês,"11,88%",P/VP,0.87,VPA,6.17
30 dias,"-16,61%",P/EBIT,-7.23,Marg. Bruta,"39,0%"
12 meses,"-79,66%",PSR,0.80,Marg. EBIT,"-11,1%"
2021,"-79,66%",P/Ativos,0.57,Marg. Líquida,"-12,9%"
2020,"0,00%",P/Cap. Giro,1.07,EBIT / Ativo,"-7,9%"
2019,"0,00%",P/Ativ Circ Liq,1.58,ROIC,"-13,7%"
2018,"0,00%",Div. Yield,"0,0%",ROE,"-14,0%"
2017,"0,00%",EV / EBITDA,-10.25,Liquidez Corr,4.06
2016,"0,00%",EV / EBIT,-5.31,Div Br/ Patrim,0.29
,,Cres. Rec (5a),-,Giro Ativos,0.71
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,1003580000,Dív. Bruta,188404000,,
Disponibilidades,339829000,Dív. Líquida,-151425000,,
Ativo Circulante,707349000,Patrim. Líq,657212000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,713360000,Receita Líquida,186343000,,
EBIT,-79124000,EBIT,-23470000,,
Lucro Líquido,-91857000,Lucro Líquido,-25685000,,
