Papel,MELK3,Cotação,4.33,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,MELNICK ON NM,Min 52 sem,3.34,,
Setor,Construção Civil,Max 52 sem,7.76,,
Subsetor,Incorporações,Vol $ méd (2m),7046900,,
Valor de mercado,900507000,Últ balanço processado,30/09/2021,,
Valor da firma,390490000,Nro. Ações,207969000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"5,35%",P/L,16.78,LPA,0.26
Mês,"9,07%",P/VP,0.76,VPA,5.66
30 dias,"12,62%",P/EBIT,14.20,Marg. Bruta,"22,6%"
12 meses,"-43,09%",PSR,1.32,Marg. EBIT,"9,3%"
2021,"-40,63%",P/Ativos,0.46,Marg. Líquida,"9,2%"
2020,"-8,85%",P/Cap. Giro,0.82,EBIT / Ativo,"3,2%"
2019,"0,00%",P/Ativ Circ Liq,0.90,ROIC,"4,5%"
2018,"0,00%",Div. Yield,"4,9%",ROE,"4,6%"
2017,"0,00%",EV / EBITDA,5.77,Liquidez Corr,2.69
2016,"0,00%",EV / EBIT,6.16,Div Br/ Patrim,0.03
,,Cres. Rec (5a),-,Giro Ativos,0.35
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,1969950000,Dív. Bruta,35004000,,
Disponibilidades,545021000,Dív. Líquida,-510017000,,
Ativo Circulante,1739650000,Patrim. Líq,1177750000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,683080000,Receita Líquida,186616000,,
EBIT,63436000,EBIT,19712000,,
Lucro Líquido,53673000,Lucro Líquido,19725000,,
