Papel,MMXM3,Cotação,14.00,,
Tipo,ON NM,Data últ cot,19/05/2021,,
Empresa,MMX MINER ON NM,Min 52 sem,14.00,,
Setor,Mineração,Max 52 sem,37.20,,
Subsetor,Minerais Metálicos,Vol $ méd (2m),0,,
Valor de mercado,90832000,Últ balanço processado,31/03/2021,,
Valor da firma,360503000,Nro. Ações,6488000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,-2.17,LPA,-6.46
Mês,"0,00%",P/VP,-0.11,VPA,-129.88
30 dias,"0,00%",P/EBIT,4.70,Marg. Bruta,-
12 meses,"-22,27%",PSR,-,Marg. EBIT,-
2021,"-17,65%",P/Ativos,0.71,Marg. Líquida,"0,0%"
2020,"566,67%",P/Cap. Giro,-0.10,EBIT / Ativo,"15,1%"
2019,"18,60%",P/Ativ Circ Liq,-0.09,ROIC,"25,9%"
2018,"-27,36%",Div. Yield,"0,0%",ROE,"5,0%"
2017,"-46,67%",EV / EBITDA,18.64,Liquidez Corr,0.01
2016,"-7,50%",EV / EBIT,18.64,Div Br/ Patrim,-0.32
,,Cres. Rec (5a),"-28,5%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,128006000,Dív. Bruta,269958000,,
Disponibilidades,287000,Dív. Líquida,269671000,,
Ativo Circulante,7224000,Patrim. Líq,-842661000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,0,Receita Líquida,0,,
EBIT,19338000,EBIT,-2124000,,
Lucro Líquido,-41920000,Lucro Líquido,-29728000,,
