Papel,MODL3,Cotação,4.09,,
Tipo,ON N2,Data últ cot,06/12/2021,,
Empresa,MODALMAIS ON N2,Min 52 sem,4.01,,
Setor,Intermediários Financeiros,Max 52 sem,12.45,,
Subsetor,Bancos,Vol $ méd (2m),70877,,
Valor de mercado,2880180000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,704200000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-0,24%",P/L,0.00,LPA,0.00
Mês,"-1,92%",P/VP,2.23,VPA,1.83
30 dias,"-14,39%",P/EBIT,-,Marg. Bruta,-
12 meses,"-67,16%",PSR,-,Marg. EBIT,-
2021,"-67,16%",P/Ativos,-,Marg. Líquida,-
2020,"0,00%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"0,00%",P/Ativ Circ Liq,-,ROIC,-
2018,"0,00%",Div. Yield,"1,7%",ROE,-
2017,"0,00%",EV / EBITDA,-,Liquidez Corr,-
2016,"0,00%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),-,Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,5836280000,Depósitos,3223930000,,
Cart. de Crédito,856096000,Patrim. Líq,1291440000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,0,Result Int Financ,160422000,,
Rec Serviços,0,Rec Serviços,16547000,,
Lucro Líquido,0,Lucro Líquido,76844000,,
