Papel,MRVE3,Cotação,11.57,,
Tipo,ON NM,Data últ cot,07/12/2021,,
Empresa,MRV ON NM,Min 52 sem,10.01,,
Setor,Construção Civil,Max 52 sem,19.90,,
Subsetor,Incorporações,Vol $ méd (2m),66683500,,
Valor de mercado,5586860000,Últ balanço processado,30/09/2021,,
Valor da firma,9331700000,Nro. Ações,482875000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-3,07%",P/L,7.97,LPA,1.45
Mês,"5,76%",P/VP,0.93,VPA,12.41
30 dias,"2,61%",P/EBIT,7.38,Marg. Bruta,"27,2%"
12 meses,"-38,63%",PSR,0.81,Marg. EBIT,"10,9%"
2021,"-36,49%",P/Ativos,0.28,Marg. Líquida,"11,3%"
2020,"-10,60%",P/Cap. Giro,1.08,EBIT / Ativo,"3,8%"
2019,"85,62%",P/Ativ Circ Liq,-1.53,ROIC,"4,3%"
2018,"6,12%",Div. Yield,"5,5%",ROE,"11,7%"
2017,"43,57%",EV / EBITDA,10.51,Liquidez Corr,2.17
2016,"35,58%",EV / EBIT,12.33,Div Br/ Patrim,0.83
,,Cres. Rec (5a),"11,3%",Giro Ativos,0.35
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,19668000000,Dív. Bruta,4952160000,,
Disponibilidades,1207330000,Dív. Líquida,3744840000,,
Ativo Circulante,9635460000,Patrim. Líq,5993850000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,6916650000,Receita Líquida,1800100000,,
EBIT,756681000,EBIT,196388000,,
Lucro Líquido,700883000,Lucro Líquido,165161000,,
