Papel,MULT3,Cotação,20.07,,
Tipo,ON N2,Data últ cot,07/12/2021,,
Empresa,Multiplan ON N2,Min 52 sem,17.30,,
Setor,Exploração de Imóveis,Max 52 sem,27.74,,
Subsetor,Exploração de Imóveis,Vol $ méd (2m),173359000,,
Valor de mercado,12057300000,Últ balanço processado,30/09/2021,,
Valor da firma,14061000000,Nro. Ações,600761000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-2,81%",P/L,31.21,LPA,0.64
Mês,"2,40%",P/VP,1.87,VPA,10.76
30 dias,"-0,69%",P/EBIT,21.75,Marg. Bruta,"77,2%"
12 meses,"-18,08%",PSR,10.53,Marg. EBIT,"48,4%"
2021,"-14,70%",P/Ativos,1.10,Marg. Líquida,"33,7%"
2020,"-27,48%",P/Cap. Giro,12.25,EBIT / Ativo,"5,1%"
2019,"38,09%",P/Ativ Circ Liq,-4.65,ROIC,"5,8%"
2018,"4,35%",Div. Yield,"2,3%",ROE,"6,0%"
2017,"21,86%",EV / EBITDA,18.81,Liquidez Corr,2.12
2016,"59,21%",EV / EBIT,25.37,Div Br/ Patrim,0.49
,,Cres. Rec (5a),"-0,5%",Giro Ativos,0.10
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,10917000000,Dív. Bruta,3181310000,,
Disponibilidades,1177610000,Dív. Líquida,2003700000,,
Ativo Circulante,1861290000,Patrim. Líq,6462260000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,1145570000,Receita Líquida,317086000,,
EBIT,554317000,EBIT,180350000,,
Lucro Líquido,386351000,Lucro Líquido,99404000,,
