Papel,ORVR3,Cotação,23.10,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,ORIZON ON NM,Min 52 sem,19.70,,
Setor,Água e Saneamento,Max 52 sem,30.54,,
Subsetor,Água e Saneamento,Vol $ méd (2m),11436200,,
Valor de mercado,1650490000,Últ balanço processado,30/09/2021,,
Valor da firma,1909790000,Nro. Ações,71450000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-0,43%",P/L,-25.36,LPA,-0.91
Mês,"2,44%",P/VP,4.41,VPA,5.24
30 dias,"-20,34%",P/EBIT,32.68,Marg. Bruta,"37,5%"
12 meses,"5,00%",PSR,4.31,Marg. EBIT,"13,2%"
2021,"5,00%",P/Ativos,1.79,Marg. Líquida,"-8,9%"
2020,"0,00%",P/Cap. Giro,11.21,EBIT / Ativo,"5,5%"
2019,"0,00%",P/Ativ Circ Liq,-9.75,ROIC,"5,7%"
2018,"0,00%",Div. Yield,"0,0%",ROE,"-17,4%"
2017,"0,00%",EV / EBITDA,19.13,Liquidez Corr,1.66
2016,"0,00%",EV / EBIT,37.81,Div Br/ Patrim,0.71
,,Cres. Rec (5a),-,Giro Ativos,0.41
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,924473000,Dív. Bruta,264639000,,
Disponibilidades,5345000,Dív. Líquida,259294000,,
Ativo Circulante,370821000,Patrim. Líq,374300000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,383171000,Receita Líquida,99841000,,
EBIT,50511000,EBIT,17451000,,
Lucro Líquido,-65085000,Lucro Líquido,-2208000,,
