Papel,PDGR3,Cotação,1.47,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,PDG REALT ON NM,Min 52 sem,1.38,,
Setor,Construção Civil,Max 52 sem,8.16,,
Subsetor,Incorporações,Vol $ méd (2m),8853160,,
Valor de mercado,82515500,Últ balanço processado,30/09/2021,,
Valor da firma,1117110000,Nro. Ações,56133000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"3,52%",P/L,-0.20,LPA,-7.23
Mês,"0,68%",P/VP,-0.02,VPA,-97.97
30 dias,"-25,38%",P/EBIT,-1.76,Marg. Bruta,"27,6%"
12 meses,"-62,86%",PSR,0.21,Marg. EBIT,"-11,7%"
2021,"-62,67%",P/Ativos,0.06,Marg. Líquida,"-98,5%"
2020,"-46,68%",P/Cap. Giro,-0.03,EBIT / Ativo,"-3,3%"
2019,"-33,42%",P/Ativ Circ Liq,-0.01,ROIC,"-4,6%"
2018,"-51,10%",Div. Yield,"0,0%",ROE,"7,4%"
2017,"90,76%",EV / EBITDA,-24.74,Liquidez Corr,0.29
2016,"-27,88%",EV / EBIT,-23.86,Div Br/ Patrim,-0.21
,,Cres. Rec (5a),"-6,4%",Giro Ativos,0.29
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,1402510000,Dív. Bruta,1166360000,,
Disponibilidades,131769000,Dív. Líquida,1034600000,,
Ativo Circulante,1072970000,Patrim. Líq,-5499090000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,400040000,Receita Líquida,139515000,,
EBIT,-46819000,EBIT,14625000,,
Lucro Líquido,-405591000,Lucro Líquido,29019000,,
