Papel,PLPL3,Cotação,3.41,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,PLANOEPLANO ON NM,Min 52 sem,2.98,,
Setor,Construção Civil,Max 52 sem,8.41,,
Subsetor,Incorporações,Vol $ méd (2m),4000950,,
Valor de mercado,696513000,Últ balanço processado,30/09/2021,,
Valor da firma,795662000,Nro. Ações,204256000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"3,65%",P/L,4.43,LPA,0.77
Mês,"11,44%",P/VP,2.12,VPA,1.61
30 dias,"11,44%",P/EBIT,2.01,Marg. Bruta,"32,9%"
12 meses,"-59,66%",PSR,0.56,Marg. EBIT,"27,8%"
2021,"-53,85%",P/Ativos,0.59,Marg. Líquida,"12,6%"
2020,"-20,95%",P/Cap. Giro,0.76,EBIT / Ativo,"29,4%"
2019,"0,00%",P/Ativ Circ Liq,2.96,ROIC,"39,1%"
2018,"0,00%",Div. Yield,"5,7%",ROE,"47,9%"
2017,"0,00%",EV / EBITDA,2.20,Liquidez Corr,6.40
2016,"0,00%",EV / EBIT,2.30,Div Br/ Patrim,0.98
,,Cres. Rec (5a),-,Giro Ativos,1.06
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,1179960000,Dív. Bruta,323102000,,
Disponibilidades,223953000,Dív. Líquida,99149000,,
Ativo Circulante,1086860000,Patrim. Líq,328039000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,1248140000,Receita Líquida,327959000,,
EBIT,346562000,EBIT,48730000,,
Lucro Líquido,157124000,Lucro Líquido,40062000,,
