Papel,PMAM3,Cotação,9.40,,
Tipo,ON,Data últ cot,06/12/2021,,
Empresa,PARANAPANEMA S.A. ON,Min 52 sem,8.57,,
Setor,Siderurgia e Metalurgia,Max 52 sem,23.45,,
Subsetor,Artefatos de Cobre,Vol $ méd (2m),4793070,,
Valor de mercado,407998000,Últ balanço processado,30/09/2021,,
Valor da firma,3469690000,Nro. Ações,43404000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,51%",P/L,-0.88,LPA,-10.65
Mês,"2,84%",P/VP,-0.52,VPA,-18.06
30 dias,"-9,96%",P/EBIT,-5.51,Marg. Bruta,"0,5%"
12 meses,"-17,40%",PSR,0.08,Marg. EBIT,"-1,4%"
2021,"-6,00%",P/Ativos,0.12,Marg. Líquida,"-9,0%"
2020,"-65,62%",P/Cap. Giro,-0.16,EBIT / Ativo,"-2,2%"
2019,"22,23%",P/Ativ Circ Liq,-0.14,ROIC,"-2,5%"
2018,"-11,95%",Div. Yield,"0,0%",ROE,"58,9%"
2017,"4,61%",EV / EBITDA,48.86,Liquidez Corr,0.34
2016,"-23,23%",EV / EBIT,-46.84,Div Br/ Patrim,-4.08
,,Cres. Rec (5a),"7,8%",Giro Ativos,1.53
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,3348780000,Dív. Bruta,3198140000,,
Disponibilidades,136447000,Dív. Líquida,3061690000,,
Ativo Circulante,1306450000,Patrim. Líq,-783935000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,5133200000,Receita Líquida,1206730000,,
EBIT,-74070000,EBIT,-40175000,,
Lucro Líquido,-462109000,Lucro Líquido,-419575000,,
