Papel,PNVL3,Cotação,12.87,,
Tipo,ON,Data últ cot,06/12/2021,,
Empresa,PANVEL FARMÁCIAS ON,Min 52 sem,11.98,,
Setor,Comércio e Distribuição,Max 52 sem,22.95,,
Subsetor,Medicamentos e Outros Produtos,Vol $ méd (2m),14498000,,
Valor de mercado,1935350000,Últ balanço processado,30/09/2021,,
Valor da firma,2419860000,Nro. Ações,150377000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"3,54%",P/L,24.53,LPA,0.52
Mês,"1,02%",P/VP,1.88,VPA,6.85
30 dias,"-5,16%",P/EBIT,25.56,Marg. Bruta,"30,4%"
12 meses,"-42,33%",PSR,0.62,Marg. EBIT,"2,4%"
2021,"-40,59%",P/Ativos,0.86,Marg. Líquida,"2,5%"
2020,"11,14%",P/Cap. Giro,3.08,EBIT / Ativo,"3,4%"
2019,"91,72%",P/Ativ Circ Liq,21.51,ROIC,"4,4%"
2018,"-21,20%",Div. Yield,"1,2%",ROE,"7,7%"
2017,"-40,06%",EV / EBITDA,10.83,Liquidez Corr,1.91
2016,"140,26%",EV / EBIT,31.96,Div Br/ Patrim,0.67
,,Cres. Rec (5a),"9,1%",Giro Ativos,1.39
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,2253830000,Dív. Bruta,690040000,,
Disponibilidades,205527000,Dív. Líquida,484513000,,
Ativo Circulante,1314470000,Patrim. Líq,1029350000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,3135110000,Receita Líquida,802473000,,
EBIT,75705000,EBIT,21543000,,
Lucro Líquido,78908000,Lucro Líquido,15653000,,
