FII,RCRI11B,Cotação,1200.00,,,,
Nome,RB CAPITAL RENDIMENTOS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,Data últ cot,14/05/2021,,,,
Mandato,Títulos e Valores Mobiliários,Min 52 sem,1200.00,,,,
Segmento,Híbrido,Max 52 sem,1200.00,,,,
Gestão,Ativa,Vol $ méd (2m),0,,,,
Valor de mercado,61214400,Nro. Cotas,51012,,,,
Relatório,30/04/2021,Últ Info Trimestral,31/03/2021,,,,
Oscilações,Oscilações,Indicadores,Indicadores,Indicadores,Indicadores,,
Dia,"0,00%",FFO Yield,"4,39%",FFO/Cota,52.67,,
Mês,"0,00%",Div. Yield,"3,1%",Dividendo/cota,41.30,,
30 dias,"0,00%",P/VP,1.16,VP/Cota,1032.90,,
12 meses,"24,74%",Resultado,Resultado,Resultado,Resultado,,
2021,"24,74%",Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
2020,"0,00%",Receita,3529150,Receita,1547450,,
2019,"0,00%",Venda de ativos,0,Venda de ativos,0,,
2018,"0,00%",FFO,2686890,FFO,1321120,,
2017,"0,00%",Rend. Distribuído,2106970,Rend. Distribuído,0,,
2016,"0,00%",Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,Balanço Patrimonial,,
,,Ativos,53170400,Patrim Líquido,52690400,,
Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,Composição dos Ativos,,
,,,,,,,
Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,Imóveis,,
Qtd imóveis,0,Área (m2),0,Cap Rate,-,,
Qtd Unidades,0,Aluguel/m2,-,Vacância Média,-,,
Imóveis/PL do FII,"0,0%",Preço do m2,-,,,,
Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos,Pesquisar Documentos
