Papel,RENT3,Cotação,53.89,,
Tipo,ON,Data últ cot,07/12/2021,,
Empresa,LOCALIZA RENT A CAR ON,Min 52 sem,45.30,,
Setor,Diversos,Max 52 sem,73.62,,
Subsetor,Aluguel de carros,Vol $ méd (2m),376990000,,
Valor de mercado,40873800000,Últ balanço processado,30/09/2021,,
Valor da firma,48130200000,Nro. Ações,758467000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-1,61%",P/L,20.40,LPA,2.64
Mês,"5,44%",P/VP,5.48,VPA,9.84
30 dias,"7,59%",P/EBIT,13.06,Marg. Bruta,"40,7%"
12 meses,"-16,34%",PSR,3.67,Marg. EBIT,"28,1%"
2021,"-21,51%",P/Ativos,1.86,Marg. Líquida,"18,0%"
2020,"46,85%",P/Cap. Giro,26.16,EBIT / Ativo,"14,3%"
2019,"68,75%",P/Ativ Circ Liq,-4.55,ROIC,"18,1%"
2018,"36,13%",Div. Yield,"0,7%",ROE,"26,8%"
2017,"105,40%",EV / EBITDA,13.57,Liquidez Corr,1.40
2016,"49,65%",EV / EBIT,15.38,Div Br/ Patrim,1.44
,,Cres. Rec (5a),"18,5%",Giro Ativos,0.51
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,21940000000,Dív. Bruta,10754000000,,
Disponibilidades,3497640000,Dív. Líquida,7256400000,,
Ativo Circulante,5496790000,Patrim. Líq,7465070000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,11140400000,Receita Líquida,2772250000,,
EBIT,3128530000,EBIT,1067320000,,
Lucro Líquido,2003380000,Lucro Líquido,671398000,,
