Papel,SANB4,Cotação,17.98,,
Tipo,PN,Data últ cot,06/12/2021,,
Empresa,SANTANDER PN,Min 52 sem,17.10,,
Setor,Intermediários Financeiros,Max 52 sem,22.14,,
Subsetor,Bancos,Vol $ méd (2m),986237,,
Valor de mercado,134824000000,Últ balanço processado,30/09/2021,,
Valor da firma,-,Nro. Ações,7498530000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"-0,33%",P/L,8.59,LPA,2.09
Mês,"0,90%",P/VP,1.71,VPA,10.54
30 dias,"-1,59%",P/EBIT,-,Marg. Bruta,-
12 meses,"-11,87%",PSR,-,Marg. EBIT,-
2021,"-15,25%",P/Ativos,-,Marg. Líquida,"0,0%"
2020,"6,52%",P/Cap. Giro,-,EBIT / Ativo,"0,0%"
2019,"19,56%",P/Ativ Circ Liq,-,ROIC,-
2018,"64,27%",Div. Yield,"8,3%",ROE,"19,8%"
2017,"41,11%",EV / EBITDA,-,Liquidez Corr,-
2016,"55,21%",EV / EBIT,-,Div Br/ Patrim,-
,,Cres. Rec (5a),"6,5%",Giro Ativos,-
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,977096000000,Depósitos,399604000000,,
Cart. de Crédito,124093000000,Patrim. Líq,79061500000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Result Int Financ,37921200000,Result Int Financ,6330060000,,
Rec Serviços,12935700000,Rec Serviços,2771300000,,
Lucro Líquido,15689000000,Lucro Líquido,4224610000,,
