Papel,SLED3,Cotação,0.68,,
Tipo,ON,Data últ cot,06/12/2021,,
Empresa,EDITORA SARAIVA ON,Min 52 sem,0.56,,
Setor,Comércio,Max 52 sem,1.83,,
Subsetor,Produtos Diversos,Vol $ méd (2m),119290,,
Valor de mercado,43118800,Últ balanço processado,30/09/2021,,
Valor da firma,324437000,Nro. Ações,63410000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"0,00%",P/L,-0.21,LPA,-3.28
Mês,"6,25%",P/VP,-0.08,VPA,-8.74
30 dias,"21,43%",P/EBIT,-0.85,Marg. Bruta,"39,7%"
12 meses,"-36,45%",PSR,0.41,Marg. EBIT,"-48,3%"
2021,"-40,35%",P/Ativos,0.15,Marg. Líquida,"-197,2%"
2020,"-75,74%",P/Cap. Giro,-0.55,EBIT / Ativo,"-18,1%"
2019,"197,47%",P/Ativ Circ Liq,-0.06,ROIC,"-26,5%"
2018,"-54,73%",Div. Yield,"0,0%",ROE,"37,6%"
2017,"-48,37%",EV / EBITDA,-11.12,Liquidez Corr,0.54
2016,"100,59%",EV / EBIT,-6.36,Div Br/ Patrim,-0.51
,,Cres. Rec (5a),"-51,1%",Giro Ativos,0.38
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,281449000,Dív. Bruta,283254000,,
Disponibilidades,1936000,Dív. Líquida,281318000,,
Ativo Circulante,92958000,Patrim. Líq,-553939000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,105656000,Receita Líquida,22230000,,
EBIT,-50982000,EBIT,-8240000,,
Lucro Líquido,-208294000,Lucro Líquido,23143000,,
