Papel,SOJA3,Cotação,14.21,,
Tipo,ON NM,Data últ cot,06/12/2021,,
Empresa,BOA SAFRA ON NM,Min 52 sem,13.00,,
Setor,Agropecuária,Max 52 sem,16.88,,
Subsetor,Agricultura,Vol $ méd (2m),4829580,,
Valor de mercado,1664560000,Últ balanço processado,30/09/2021,,
Valor da firma,1543450000,Nro. Ações,117140000,,
Oscilações,Oscilações,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas,Indicadores fundamentalistas
Dia,"1,57%",P/L,12.44,LPA,1.14
Mês,"-4,89%",P/VP,2.66,VPA,5.35
30 dias,"2,60%",P/EBIT,11.82,Marg. Bruta,"19,1%"
12 meses,"-2,00%",PSR,1.91,Marg. EBIT,"16,1%"
2021,"-2,00%",P/Ativos,1.68,Marg. Líquida,"15,3%"
2020,"0,00%",P/Cap. Giro,3.40,EBIT / Ativo,"14,2%"
2019,"0,00%",P/Ativ Circ Liq,3.81,ROIC,"21,8%"
2018,"0,00%",Div. Yield,"0,0%",ROE,"21,4%"
2017,"0,00%",EV / EBITDA,10.80,Liquidez Corr,2.57
2016,"0,00%",EV / EBIT,10.96,Div Br/ Patrim,0.20
,,Cres. Rec (5a),-,Giro Ativos,0.88
Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,Dados Balanço Patrimonial,,
Ativo,992147000,Dív. Bruta,126977000,,
Disponibilidades,248095000,Dív. Líquida,-121118000,,
Ativo Circulante,802107000,Patrim. Líq,626668000,,
Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,Dados demonstrativos de resultados,,
Últimos 12 meses,Últimos 12 meses,Últimos 3 meses,Últimos 3 meses,,
Receita Líquida,872111000,Receita Líquida,586656000,,
EBIT,140790000,EBIT,88941000,,
Lucro Líquido,133826000,Lucro Líquido,88087000,,
